#{"t_start": 1775812281.8637247, "env_id": "None"}
r,l,t
-1.23,2,6.744744
-1.26,3,6.779325
-1.23,2,6.813055
-1.2,1,6.813745
-1.26,3,6.847785
-1.2,1,6.848465
-1.26,3,6.882298
-1.41,8,6.950983
-1.38,7,6.987087
-0.09,5,7.054246
-1.29,4,7.088993
-0.24,10,7.158892
-1.2,1,7.159688
-1.32,5,7.226613
-1.29,4,7.261027
-1.23,2,7.262241
0.0,2,7.295655
-0.03,3,7.297514
-1.83,22,7.502085
-1.35,6,7.53744
-1.23,2,7.570781
-0.12,6,7.606321
-1.32,5,7.673286
-1.26,3,7.675027
-1.2,1,7.707802
-1.38,7,7.744245
-0.09,5,7.812631
-1.2,1,7.81334
-1.32,5,7.84858
-1.26,3,7.882682
-1.2,1,7.883313
-1.29,4,7.917681
-1.86,23,8.123396
-1.23,2,8.124555
-0.3,12,8.227619
-1.26,3,8.261426
-1.32,46,8.672391
-1.2,1,8.673084
-1.23,2,8.674217
-1.23,2,8.707602
-1.38,7,8.776373
-1.23,2,8.777636
-0.39,15,8.915219
-1.62,15,9.053127
-0.99,35,9.330305
-1.26,3,9.364162
-1.35,6,9.431713
-0.12,6,9.467665
-1.23,2,9.500961
-1.29,4,9.535319
-1.23,2,9.536523
-0.09,5,9.571492
0.0,2,9.604994
-0.3,12,9.708202
-1.23,2,9.709449
-1.47,10,9.813143
-1.2,1,9.81391
-1.2,1,9.814565
-1.32,5,9.881764
-1.47,10,9.951544
-1.2,1,9.952241
-1.29,4,9.986656
-1.23,2,10.019989
-1.26,3,10.053831
-1.2,1,10.054564
-0.3,12,10.16125
-1.32,5,10.196918
-1.2,1,10.197557
-1.62,15,10.337903
-1.2,1,10.338548
0.78,17,10.508921
-1.23,2,10.510149
-1.44,9,10.579456
-1.2,1,10.612239
-1.23,2,10.613441
-1.32,5,10.648342
-1.44,9,10.749666
-1.56,13,10.854738
-1.29,4,10.889301
-1.2,1,10.889951
-1.59,14,11.026674
-1.23,2,11.027882
-0.39,15,11.164929
-1.44,9,11.234083
-1.44,9,11.303647
-1.56,13,11.439194
-1.59,14,11.543334
-1.23,2,11.576755
-1.2,1,11.577493
-1.38,7,11.645454
