#{"t_start": 1775819384.201737, "env_id": "None"}
r,l,t
-1.35,6,1.962461
-1.23,2,1.964716
-1.23,2,1.96697
1.08,7,1.974625
-1.32,5,1.979987
-1.26,3,1.983274
-1.26,3,2.150354
-1.2,1,2.151625
-1.68,17,2.169502
-0.93,33,2.204002
-1.5,11,2.215521
-1.53,12,2.228139
-1.32,5,2.233448
-1.41,8,2.241927
-1.2,1,2.243134
-1.32,5,2.248473
-0.24,10,2.259119
-1.35,6,2.265497
-1.2,1,2.266704
-1.32,5,2.272049
-0.36,14,2.287323
-1.56,13,2.300932
-1.23,2,2.303177
-1.5,11,2.314761
-1.23,2,2.317005
-2.01,28,2.346696
-1.2,1,2.34798
-1.29,4,2.352399
-1.23,2,2.354663
-1.2,1,2.355885
-1.23,2,2.358138
-1.26,3,2.361449
-0.12,6,2.368167
-1.35,6,2.374732
-1.35,6,2.381163
-1.83,22,2.404228
-1.8,21,2.426227
-1.23,2,2.428463
-1.23,2,2.430704
-1.29,4,2.435008
-1.2,1,2.436217
-1.26,3,2.439497
-1.32,5,2.44488
-1.29,4,2.449204
-1.32,5,2.454727
-1.2,1,2.455952
-1.23,2,2.458211
-1.23,2,2.460481
-1.2,1,2.461769
-1.23,2,2.464038
-1.26,3,2.467462
-0.09,5,2.472929
-1.38,7,2.480572
-1.2,1,2.481788
-1.23,2,2.484051
-1.71,18,2.50294
-1.23,2,2.50518
-1.23,2,2.50744
-1.44,9,2.516932
-1.2,1,2.518148
-1.56,13,2.531785
-1.47,10,2.542363
-1.59,14,2.557059
-1.29,4,2.561388
-1.41,8,2.569865
-1.59,14,2.58455
-1.89,24,2.609638
-0.06,4,2.614047
-0.09,5,2.619527
-1.35,6,2.625935
-1.2,1,2.62714
-1.5,11,2.638814
1.2,3,2.642258
-1.29,4,2.646583
-1.62,15,2.662241
-0.03,3,2.665619
-1.26,3,2.668921
-1.23,2,2.67116
-1.2,1,2.672363
-0.21,9,2.681971
-1.59,14,2.696568
-1.23,2,2.86281
-1.44,9,2.872326
-1.29,4,2.876662
-1.56,13,2.890254
-1.59,14,2.904956
-1.23,2,2.907199
-1.23,2,2.909451
-1.26,3,2.912732
-1.23,2,2.914989
-1.23,2,2.917228
-1.41,8,2.92568
-1.29,4,2.93
-1.59,14,2.944707
-1.26,3,2.947995
-1.38,7,2.955415
-1.2,1,2.956625
-1.2,1,2.957845
-0.63,23,2.981867
-1.47,10,2.992401
-1.38,7,2.99982
-1.2,1,3.001022
-1.2,1,3.002229
-1.23,2,3.004469
-1.2,1,3.00568
-1.89,24,3.030768
-1.2,1,3.031982
-0.03,3,3.035346
-1.23,2,3.037588
-1.29,4,3.041914
-1.26,3,3.04518
-1.26,3,3.04846
-1.41,8,3.056944
-1.2,1,3.058142
-1.26,3,3.061444
-1.59,14,3.076118
-1.2,1,3.077329
-1.23,2,3.079569
-1.83,22,3.102493
-1.2,1,3.103717
-1.41,8,3.112332
-1.2,1,3.11355
-0.09,5,3.119061
0.0,2,3.12136
-1.32,5,3.126724
-1.2,1,3.127944
-0.15,7,3.135666
-1.23,2,3.137928
-1.71,18,3.156759
-1.29,4,3.161074
-1.2,1,3.162277
-1.32,5,3.16763
-1.35,6,3.174036
-1.29,4,3.178369
-1.23,2,3.180611
-1.26,3,3.183904
-1.38,7,3.191284
-1.23,2,3.193544
-1.26,3,3.196814
-0.12,6,3.203338
-1.65,16,3.220097
-1.38,7,3.227508
1.14,5,3.233041
