#{"t_start": 1775801401.3549445, "env_id": "None"}
r,l,t
-1.35,6,1.538966
-1.2,1,1.543102
-1.2,1,1.543717
-1.29,4,1.549456
-1.38,7,1.560125
-1.71,18,1.583681
-1.2,1,1.584296
-1.2,1,1.588443
-1.47,10,1.600658
-1.2,1,1.601258
0.0,2,1.605909
-1.26,3,1.611047
-1.32,5,1.617159
-1.32,5,1.623317
-1.38,7,1.633964
-1.65,16,1.656398
-1.26,3,1.661529
-1.32,5,1.66768
-1.29,4,1.673311
-1.44,9,1.685061
-1.2,1,1.685691
-2.4,41,1.745235
-1.32,5,1.751398
-1.44,9,1.763145
-1.2,1,1.763758
-1.2,1,1.767837
-1.26,3,1.769453
-1.26,3,1.774589
-1.68,17,1.797434
-1.38,7,1.808077
-1.8,21,1.836454
-1.2,1,1.840613
-1.32,5,1.846792
-0.03,3,1.851999
-1.35,6,1.858708
-1.2,1,1.859351
-1.71,18,1.88621
-0.15,7,1.896917
-1.23,2,1.898044
-0.03,3,1.903356
-1.35,6,1.910014
-0.09,5,1.919806
-1.38,7,1.926986
-0.09,5,1.936758
-0.12,6,1.943535
-1.47,10,1.959209
-1.23,2,1.96034
-1.23,2,1.964997
-1.5,11,1.977848
-1.5,11,1.994338
-1.23,2,1.998973
-1.29,4,2.004829
-1.2,1,2.005454
-1.2,1,2.006042
-1.2,1,2.006634
-1.53,12,2.023297
-1.2,1,2.027374
-1.32,5,2.033579
-1.23,2,2.034696
-1.29,4,2.040351
-1.35,6,2.050552
-1.23,2,2.051666
-1.26,3,2.05691
-0.03,3,2.062214
-1.2,1,2.062837
-1.2,1,2.063421
-1.62,15,2.085324
0.0,2,2.090046
-1.47,10,2.102534
-1.26,3,2.107707
-1.32,5,2.114172
-1.35,6,2.124622
-1.23,2,2.125759
-1.2,1,2.126351
-1.26,3,2.131583
-1.38,7,2.142518
-1.89,24,2.176023
-0.09,5,2.182562
-0.03,3,2.187804
-1.2,1,2.188443
0.0,2,2.193117
-1.41,8,2.204288
-1.2,1,2.204912
-1.26,3,2.210093
-1.35,6,2.216806
-1.32,5,2.223039
-1.53,12,2.240829
0.0,2,2.245606
-1.56,13,2.262904
-1.77,20,2.290913
-1.41,8,2.302135
-1.2,1,2.302802
-1.29,4,2.308433
-1.41,8,2.319627
-1.2,1,2.323729
-0.33,13,2.341432
-1.38,7,2.352216
-1.2,1,2.352849
-1.71,18,2.376123
-1.32,5,2.385816
-1.2,1,2.386412
-1.35,6,2.393079
-1.23,2,2.397737
-1.2,1,2.39837
-1.2,1,2.398971
-1.23,2,2.403622
-1.86,23,2.436666
-0.3,12,2.453868
-1.29,4,2.459543
-1.26,3,2.46117
-0.6,22,2.49362
-1.71,18,2.517111
-1.2,1,2.52125
-1.23,2,2.522375
-0.06,4,2.528309
-1.23,2,2.532951
-1.2,1,2.533575
-1.38,7,2.544269
-1.2,1,2.544893
1.11,6,2.551713
-1.2,1,2.5558
-1.71,18,2.579308
-1.38,7,2.590065
-0.27,11,2.606437
-0.09,5,2.612664
-1.65,16,2.635119
-1.41,8,2.646338
-1.2,1,2.646986
-1.44,9,2.658793
-1.35,6,2.668938
-0.12,6,2.675752
-1.23,2,2.680443
-1.26,3,2.685578
-1.68,17,2.708577
-1.2,1,2.709162
-0.33,13,2.727056
-1.32,5,2.736751
-1.2,1,2.737382
-1.23,2,2.738493
-1.2,1,2.742631
-1.47,10,2.754779
-2.01,28,2.79391
-1.2,1,2.794544
-1.26,3,2.799716
-1.26,3,2.804855
-1.38,7,2.815513
-1.2,1,2.816116
-1.56,13,2.833355
-1.35,6,2.843529
-1.23,2,2.844657
-1.32,5,2.850799
-1.23,2,2.855492
-0.06,4,2.861256
-1.32,5,2.867379
-1.23,2,2.872009
-0.21,9,2.884092
-1.26,3,2.889217
-1.29,4,2.894862
-1.23,2,2.896171
-1.2,1,2.896806
-1.38,7,2.907502
-1.23,2,2.912281
-1.2,1,2.912895
-1.56,13,2.930717
