#{"t_start": 1775807092.8954906, "env_id": "None"}
r,l,t
-1.2,1,1.788128
-1.32,5,1.793312
-1.23,2,1.795502
-1.2,1,1.796695
-1.32,5,1.80367
-1.38,7,1.810905
-1.26,3,1.814121
-1.32,5,1.81934
-1.47,10,1.829482
-1.29,4,1.835439
-1.23,2,1.837654
-1.23,2,1.839854
-1.35,6,1.846102
-1.29,4,1.850327
-1.23,2,1.852509
-1.44,9,1.861707
-1.38,7,1.87068
-1.41,8,1.878916
-1.44,9,1.888147
-1.2,1,1.889336
0.0,2,1.891584
-1.32,5,1.89679
-1.35,6,1.903032
-1.23,2,1.906994
-1.35,6,1.913267
-1.2,1,1.914459
-1.2,1,1.915647
-1.2,1,1.916831
-1.59,14,1.93102
-1.23,2,1.933218
0.0,2,1.935483
-1.26,3,1.93868
-1.2,1,1.941657
-0.03,3,1.944981
-1.2,1,1.946175
-1.26,3,1.949373
-1.59,14,1.963597
-0.54,20,1.985955
-1.74,19,2.005221
-1.68,17,2.024261
-1.26,3,2.027469
-1.23,2,2.029651
-0.27,11,2.040982
-1.2,1,2.042171
-1.71,18,2.062258
0.0,2,2.064523
-1.32,5,2.069735
-1.41,8,2.077974
-1.2,1,2.080911
-0.09,5,2.086326
-1.2,1,2.087511
-1.32,5,2.092709
-1.38,7,2.099918
-1.32,5,2.105127
-1.2,1,2.106311
-1.47,10,2.118289
-1.35,6,2.124489
-0.24,10,2.135052
-1.26,3,2.138246
-1.26,3,2.141432
-2.22,35,2.178543
-1.2,1,2.179732
-1.26,3,2.182927
-1.32,5,2.189876
-1.23,2,2.192096
-1.23,2,2.19429
-1.26,3,2.19748
-1.62,15,2.212759
0.63,22,2.237238
-0.36,14,2.251529
-1.26,3,2.256489
-1.26,3,2.259677
-1.35,6,2.265899
-1.53,12,2.278159
-1.23,2,2.280341
-0.48,18,2.300431
-1.23,2,2.302634
-1.35,6,2.308818
-0.15,7,2.316226
-1.29,4,2.320406
-1.5,11,2.333419
-1.41,8,2.341646
-1.23,2,2.343835
0.0,2,2.346096
-1.47,10,2.356305
-0.03,3,2.361351
-1.41,8,2.369521
-1.2,1,2.370717
-1.41,8,2.378903
-1.41,8,2.387173
-1.2,1,2.388351
-1.47,10,2.400373
-0.06,4,2.404689
-1.23,2,2.406882
-0.06,4,2.411178
-1.29,4,2.415402
-1.23,2,2.417603
-1.26,3,2.420801
-1.23,2,2.423017
-1.41,8,2.432997
-1.47,10,2.443224
-1.32,5,2.448447
-1.35,6,2.454638
-1.32,5,2.459844
-1.38,7,2.468846
-1.29,4,2.473046
-0.15,7,2.48039
-0.09,5,2.485673
-1.47,10,2.496104
-1.35,6,2.504395
-1.23,2,2.506624
-1.59,14,2.521006
-1.47,10,2.531305
-1.8,21,2.554388
-1.2,1,2.555586
-1.2,1,2.556777
-0.12,6,2.563052
-1.23,2,2.565253
-1.56,13,2.580279
-1.2,1,2.581468
-2.64,49,2.632524
-1.56,13,2.647511
-1.47,10,2.657735
-1.56,13,2.670965
-1.41,8,2.680974
-0.36,14,2.695315
-1.23,2,2.697486
-1.23,2,2.699681
-1.29,4,2.703873
-1.44,9,2.714896
-0.12,6,2.72127
0.99,10,2.731696
-1.29,4,2.735887
-1.2,1,2.737087
-1.26,3,2.740282
-1.32,5,2.74727
-1.86,23,2.770396
-1.62,15,2.787396
-2.58,47,2.83649
-1.2,1,2.837677
-1.35,6,2.84387
-1.32,5,2.850834
-0.12,6,2.857128
-0.15,7,2.864427
-1.35,6,2.870666
-1.2,1,2.871853
-1.98,27,2.900841
-1.2,1,2.902035
-1.56,13,2.917017
-1.26,3,2.920207
-1.29,4,2.924397
-1.2,1,2.925589
-1.59,14,2.939759
-1.35,6,2.945961
-1.26,3,2.950898
-1.2,1,2.95211
-1.23,2,2.9543
-1.92,66,3.024246
-1.26,3,3.027458
-2.04,29,3.058484
-1.23,2,3.060688
-1.32,5,3.065881
0.96,11,3.077358
-1.5,11,3.09032
-1.32,5,3.095534
-1.68,17,3.112791
-0.12,6,3.119225
-0.03,3,3.12428
-1.26,3,3.127496
-1.59,14,3.14169
-0.48,18,3.162009
-1.23,2,3.164214
-1.2,1,3.165394
-1.29,4,3.169585
-1.65,16,3.185809
-1.23,2,3.188008
-0.3,12,3.202058
-1.53,12,3.21429
-0.45,17,3.233462
-1.26,3,3.23663
-1.35,6,3.242856
-1.44,9,3.252127
-1.29,4,3.2563
-1.38,7,3.265286
-1.65,16,3.281483
-1.41,8,3.289718
-0.57,21,3.312786
-1.74,19,3.333811
-1.26,3,3.337046
-0.03,3,3.340356
-2.13,32,3.374396
-0.27,11,3.38569
-1.53,12,3.399637
-1.65,16,3.4159
-1.23,2,3.418121
-0.06,4,3.422455
-1.32,5,3.427673
-0.21,9,3.43878
-1.68,17,3.455989
-1.77,20,3.478135
-1.35,6,3.484375
-0.06,4,3.488889
-1.41,8,3.497242
-1.29,4,3.501562
-1.2,1,3.504787
-0.09,5,3.510203
-0.06,4,3.514647
0.96,11,3.526175
-1.38,7,3.5334
-1.29,4,3.537648
-1.38,7,3.546781
-0.15,7,3.554084
-1.44,9,3.56329
-1.26,3,3.566487
-1.29,4,3.570679
-0.06,4,3.576771
-1.32,5,3.581994
-1.2,1,3.583182
-1.38,7,3.590358
-1.47,10,3.60057
-0.06,4,3.604887
-1.29,4,3.610857
-1.56,13,3.624049
-1.23,2,3.626251
-1.2,1,3.627444
-1.2,1,3.628633
-1.35,6,3.634824
-1.56,13,3.649787
-0.27,11,3.661135
-0.39,15,3.676566
-1.95,26,3.704689
-1.2,1,3.705885
-1.2,1,3.707094
-1.62,15,3.724111
-1.38,7,3.731314
-1.2,1,3.732502
-1.2,1,3.733686
-0.27,11,3.745033
-1.71,18,3.765069
-0.15,7,3.772386
-1.2,1,3.773575
-1.59,14,3.789568
-1.2,1,3.790756
-1.77,20,3.811008
-1.47,10,3.822995
-1.59,14,3.837299
-1.35,6,3.843493
-1.74,19,3.864498
-1.2,1,3.865686
-0.36,14,3.88003
-1.41,8,3.890023
-2.01,28,3.918319
-1.26,3,3.923259
-2.19,34,3.959337
-1.65,16,3.975653
-1.2,1,3.976846
-1.35,6,3.983059
-1.2,1,3.984252
-1.95,26,4.012314
-1.35,6,4.018534
-0.03,3,4.021798
-1.35,6,4.029783
-1.26,3,4.032991
-1.32,5,4.038203
-1.26,3,4.041392
-2.28,37,4.080473
-1.44,9,4.08963
-1.65,16,4.10759
-1.47,10,4.117774
-1.26,3,4.120977
-0.3,12,4.135185
-0.21,9,4.1445
-1.62,15,4.159752
-0.39,15,4.176761
-1.77,20,4.198804
-1.29,4,4.202981
-1.44,9,4.212212
-1.29,4,4.216415
-1.32,5,4.221634
-1.65,16,4.239676
-1.35,6,4.245883
-1.32,5,4.251104
-1.5,11,4.262321
-0.21,9,4.273597
-1.47,10,4.283796
-1.26,3,4.286996
-1.98,27,4.316067
-1.38,7,4.323284
-1.2,1,4.324478
-1.47,10,4.336447
-0.21,9,4.345724
-1.35,6,4.351992
-1.35,6,4.358246
-1.53,12,4.37221
-0.12,6,4.378575
-2.19,34,4.414624
-1.74,19,4.43381
-1.23,2,4.436014
0.99,10,4.448402
-1.26,3,4.451618
-1.41,8,4.459835
-1.23,2,4.462045
0.9,13,4.477421
-1.2,1,4.478612
-1.98,27,4.505848
-0.33,13,4.520937
-0.09,5,4.526461
-1.74,19,4.548167
-1.23,2,4.550389
-1.47,10,4.560879
-1.2,1,4.562082
-2.13,32,4.5963
-1.2,1,4.597494
-1.35,6,4.60372
-1.5,11,4.616754
-1.26,3,4.619953
-1.65,16,4.636268
-1.2,1,4.637455
-0.09,5,4.642804
-2.49,44,4.690713
0.84,15,4.706131
-0.36,14,4.722236
-1.38,7,4.729418
-1.23,2,4.731618
-1.62,15,4.746961
-1.65,16,4.765003
-1.32,5,4.770251
-0.15,7,4.77766
-1.74,19,4.798639
-1.38,7,4.805849
-0.15,7,4.813292
-1.35,6,4.819515
-1.56,13,4.834519
-1.2,1,4.835712
-1.2,1,4.836905
-1.53,12,4.849178
-0.27,11,4.862273
-1.23,2,4.864456
-1.71,18,4.882772
-1.38,7,4.891775
-1.41,8,4.899971
-1.26,3,4.903161
-1.38,7,4.91036
-1.65,16,4.928337
-1.5,11,4.939543
-1.8,21,4.962623
-0.39,15,4.978012
-0.09,5,4.983276
-0.6,22,5.007386
-0.06,4,5.011679
-1.23,2,5.013865
-0.21,9,5.054062
-1.35,6,5.062389
-0.33,13,5.075819
-1.23,2,5.078029
-0.24,10,5.088311
-1.2,1,5.089501
-0.09,5,5.096593
-1.65,16,5.112854
-1.32,5,5.11806
-1.86,23,5.143017
-1.26,3,5.146231
-0.42,16,5.162611
-2.04,29,5.193377
-0.15,7,5.202403
-1.44,9,5.211657
-1.5,11,5.222863
-1.86,23,5.247846
-1.56,13,5.261078
-1.26,3,5.264262
-1.32,5,5.271233
-1.2,1,5.272415
-1.35,6,5.278591
-1.26,3,5.281769
-1.62,15,5.296994
-1.41,8,5.306926
-1.29,4,5.311118
-1.35,6,5.317308
-1.32,5,5.322488
-1.23,2,5.324677
-1.68,17,5.343615
-1.29,4,5.347809
-0.09,5,5.353057
-1.59,14,5.367272
-1.2,1,5.36846
-1.2,1,5.369641
-2.37,40,5.413258
-1.32,5,5.41843
-1.5,11,5.429683
-1.47,10,5.441644
-1.26,3,5.444825
-1.89,24,5.469157
-1.29,4,5.475088
-0.66,24,5.499481
-0.06,4,5.503778
-0.54,20,5.526168
-1.23,2,5.528396
-1.41,8,5.536782
-1.35,6,5.545292
-1.65,16,5.561785
-1.2,1,5.562999
-1.26,3,5.566226
-1.29,4,5.570421
-1.65,16,5.588657
-1.38,7,5.595879
-2.04,29,5.626968
-1.5,11,5.638143
0.99,10,5.650259
-1.29,4,5.654433
-1.59,14,5.668679
-1.23,2,5.670874
-1.29,4,5.675089
-2.1,31,5.708143
-1.53,12,5.722158
-0.57,21,5.743662
-1.2,1,5.744849
0.0,2,5.74711
-1.32,5,5.754067
-1.56,13,5.767271
-1.56,13,5.780432
-1.14,40,5.824196
-1.2,1,5.825386
-1.2,1,5.826573
-1.26,3,5.829762
-1.56,13,5.842956
-1.29,4,5.847136
-0.27,11,5.860285
-1.77,20,5.880537
-1.74,19,5.901514
-0.15,7,5.908839
-1.62,15,5.925757
1.77,25,5.951681
-1.2,1,5.952877
-1.32,5,5.959851
