#{"t_start": 1775806260.1414297, "env_id": "None"}
r,l,t
-1.44,9,1.141531
-1.2,1,1.142317
-2.07,30,1.160509
-1.29,4,1.163129
-1.29,4,1.165763
-1.32,5,1.168943
-1.26,3,1.170969
-1.26,3,1.172981
-1.23,2,1.174405
-1.77,20,1.186583
-0.09,5,1.18991
-1.47,10,1.196149
-1.26,3,1.198199
-1.47,10,1.204388
-1.41,8,1.209371
-0.06,4,1.212109
-1.83,22,1.225421
-0.12,6,1.229344
-1.2,1,1.230116
-1.2,1,1.230905
-1.23,2,1.232322
-1.62,15,1.241564
-1.2,1,1.242336
-1.2,1,1.243107
-1.2,1,1.243955
-1.62,15,1.253155
-1.23,2,1.254583
-1.38,7,1.25899
-1.89,24,1.273613
-1.2,1,1.274384
-1.2,1,1.275158
-1.2,1,1.275913
-0.12,6,1.280641
-1.23,2,1.282026
-1.26,3,1.284037
-0.3,12,1.291775
-1.35,6,1.295613
-1.5,11,1.302417
-1.35,6,1.306234
-1.53,12,1.31361
-1.23,2,1.315006
-1.2,1,1.315828
-1.41,8,1.320819
-1.2,1,1.321599
-1.32,5,1.324829
-1.23,2,1.326247
-1.26,3,1.328202
-1.41,8,1.3332
-1.2,1,1.334062
-1.29,4,1.336663
-1.32,5,1.339869
0.0,2,1.341319
-1.38,7,1.345784
-1.44,9,1.351371
-1.86,23,1.365449
-1.2,1,1.366236
-1.38,7,1.370707
-1.32,5,1.37388
-1.35,6,1.377707
-1.77,20,1.389897
-1.47,10,1.396097
-1.35,6,1.39991
-1.68,17,1.410279
-1.56,13,1.418228
-1.44,9,1.42386
-1.32,5,1.427105
-1.23,2,1.428496
-1.23,2,1.429897
-1.59,14,1.43851
-1.5,11,1.445287
-1.2,1,1.446063
-1.35,6,1.449869
-1.35,6,1.453715
-1.5,11,1.460533
-0.03,3,1.462637
-1.2,1,1.46341
-1.59,14,1.47208
-1.32,5,1.475277
-1.23,2,1.476641
-1.53,12,1.48411
-1.23,2,1.485584
-0.03,3,1.487685
-1.38,7,1.492057
-0.27,11,1.498884
1.05,8,1.50416
-1.62,15,1.51334
-1.41,8,1.51831
-1.32,5,1.521484
-1.29,4,1.524089
-1.2,1,1.524862
-1.23,2,1.526248
-1.59,14,1.534836
-1.32,5,1.53811
-1.2,1,1.538885
-1.2,1,1.539652
-0.27,11,1.546559
-1.26,3,1.548621
-1.38,7,1.552985
-1.2,1,1.553799
-1.23,2,1.555168
-1.2,1,1.555973
-1.35,6,1.559791
-1.35,6,1.563575
-0.06,4,1.566246
-1.35,6,1.570103
-0.09,5,1.573442
-1.2,1,1.574234
-1.26,3,1.576212
-1.2,1,1.577015
-1.47,10,1.583235
-1.2,1,1.584021
-1.23,2,1.585428
-1.2,1,1.586243
-1.35,6,1.589986
-1.47,10,1.596243
-1.2,1,1.597029
-1.47,10,1.603318
-0.06,4,1.606014
-1.29,4,1.608624
-1.62,15,1.617785
-1.2,1,1.618645
-1.29,4,1.621222
-0.45,17,1.631901
-1.29,4,1.634506
-1.23,2,1.635905
-1.2,1,1.636747
-1.29,4,1.639298
-1.2,1,1.640079
-0.12,6,1.644113
-1.23,2,1.645516
-1.32,5,1.648714
-1.77,20,1.66089
-1.2,1,1.661694
-2.07,30,1.679867
-1.32,5,1.683073
-1.38,7,1.687474
-1.32,5,1.690686
-1.23,2,1.692121
-1.2,1,1.692898
-1.41,8,1.697857
-1.35,6,1.701715
-1.29,4,1.704271
-1.65,16,1.714051
-1.68,17,1.724479
-1.8,21,1.73726
-1.26,3,1.739297
-1.26,3,1.741283
-1.23,2,1.742723
-1.2,1,1.743541
-1.5,11,1.750372
0.0,2,1.751818
-1.2,1,1.752636
0.0,2,1.754104
0.81,16,1.764448
-1.26,3,1.766456
-1.26,3,1.768439
-1.53,12,1.775912
-0.15,7,1.780407
-1.29,4,1.782981
-0.09,5,1.786312
-0.12,6,1.79032
-1.29,4,1.792904
-0.12,6,1.796947
-1.23,2,1.798327
-1.23,2,1.799767
-1.23,2,1.801153
-1.38,7,1.805563
-1.26,3,1.807551
-1.56,13,1.815513
-1.29,4,1.81813
-1.2,1,1.818909
-1.23,2,1.820308
-0.39,15,1.82982
-1.2,1,1.830655
-1.23,2,1.832054
-1.38,7,1.836476
-1.23,2,1.837901
-0.18,8,1.843207
-1.23,2,1.844657
-1.2,1,1.845431
-1.62,15,1.854709
-1.23,2,1.856113
-1.23,2,1.857514
-0.63,23,1.87174
-1.32,5,1.875003
-1.26,3,1.877025
-1.32,5,1.880229
-1.2,1,1.881003
-1.59,14,1.889894
-1.26,3,1.891862
-1.8,21,1.904667
-1.2,1,1.905449
-1.44,9,1.911083
-1.32,5,1.914281
-0.24,10,1.920588
-0.45,17,1.930977
-1.23,2,1.932449
-1.56,13,1.940456
-1.2,1,1.94124
-0.12,6,1.945242
-1.53,12,1.952639
-1.23,2,1.954024
-1.29,4,1.956641
-1.47,10,1.962884
-1.2,1,1.963689
-1.41,8,1.968672
-0.24,10,1.974947
-1.2,1,1.975776
-1.47,10,1.982022
-1.2,1,1.982788
-1.23,2,1.984218
-1.2,1,1.984957
-1.35,6,1.98884
-1.35,6,1.992638
-1.41,8,1.997678
-1.26,3,1.999675
0.0,2,2.001134
-1.26,3,2.003145
-1.2,1,2.003917
-1.38,7,2.008296
-1.2,1,2.009106
-1.2,1,2.009917
-1.2,1,2.010691
-1.2,1,2.011456
-1.32,5,2.014677
-1.35,6,2.018504
-1.23,2,2.01987
-1.23,2,2.021276
-1.32,5,2.024509
-1.5,11,2.031324
-1.2,1,2.032111
-0.09,5,2.035397
-1.35,6,2.039262
-1.23,2,2.040635
-1.35,6,2.044441
-1.38,7,2.048877
-1.44,9,2.054503
-1.23,2,2.055863
-1.41,8,2.061046
-1.29,4,2.063606
-1.29,4,2.066237
-1.23,2,2.067671
-1.41,8,2.072608
-0.15,7,2.077148
-0.06,4,2.07982
-1.29,4,2.082445
-0.27,11,2.08939
-1.26,3,2.091388
-1.35,6,2.095289
-1.2,1,2.096061
-1.23,2,2.097417
-1.53,12,2.104823
-1.29,4,2.107426
-1.23,2,2.108839
-1.29,4,2.111457
-1.23,2,2.112827
-1.2,1,2.113691
-1.2,1,2.114465
-1.2,1,2.115246
-1.5,11,2.122068
-0.12,6,2.126049
-1.35,6,2.12987
-1.44,9,2.135452
-1.29,4,2.138055
-1.23,2,2.139507
-1.41,8,2.144527
-1.35,6,2.148327
-0.39,15,2.157532
-1.2,1,2.158374
-1.2,1,2.159142
-1.2,1,2.159943
-1.47,10,2.16611
-1.2,1,2.166896
-1.56,13,2.17488
-0.09,5,2.178223
-0.12,6,2.182137
-1.2,1,2.182997
-1.23,2,2.184398
-1.26,3,2.186416
-1.44,9,2.192024
0.0,2,2.193542
-1.29,4,2.196177
-1.23,2,2.197548
-1.41,8,2.202501
