#{"t_start": 1775807783.2654605, "env_id": "None"}
r,l,t
-0.12,6,0.018902
-1.2,1,0.020412
-1.38,7,0.02792
-1.26,3,0.031254
-1.35,6,0.037523
-0.45,17,0.056129
-1.2,1,0.057355
-1.23,2,0.059645
-1.26,3,0.062858
-1.68,17,0.080168
-1.29,4,0.084362
-0.12,6,0.090683
-1.35,6,0.096888
-1.47,10,0.107133
-0.36,14,0.121775
-1.32,5,0.126996
-1.2,1,0.128186
-1.2,1,0.129371
0.0,2,0.131644
-1.2,1,0.132834
-1.23,2,0.135032
-1.23,2,0.137213
-1.23,2,0.1394
-1.38,7,0.146624
-1.2,1,0.147843
0.0,2,0.150128
-1.86,23,0.173425
-1.32,5,0.17862
-1.2,1,0.179795
-1.44,9,0.189029
-1.2,1,0.19023
-1.2,1,0.191411
-1.35,6,0.197613
1.08,7,0.205039
-1.41,8,0.21328
-1.2,1,0.214481
-1.29,4,0.218726
-1.44,9,0.227908
-0.24,10,0.238243
-1.86,23,0.261443
-0.09,5,0.266701
-1.26,3,0.269888
-1.23,2,0.272103
-1.2,1,0.273286
-1.2,1,0.274472
-1.29,4,0.278655
-1.26,3,0.281857
-1.2,1,0.283052
-1.26,3,0.286251
-1.29,4,0.29043
-1.23,2,0.292618
-1.2,1,0.2938
-1.71,18,0.312009
-1.2,1,0.313193
-1.53,12,0.325377
-1.44,9,0.334595
-1.56,13,0.34781
-1.23,2,0.350018
-0.12,6,0.356382
-1.32,5,0.361558
-1.2,1,0.362734
-1.32,5,0.367901
-1.23,2,0.370112
-1.29,4,0.374302
-1.32,5,0.379483
-1.35,6,0.38564
-1.2,1,0.386832
-0.21,9,0.396162
-1.62,15,0.411364
-1.26,3,0.414562
-1.29,4,0.418747
-1.56,13,0.431968
-1.26,3,0.435161
-1.38,7,0.442329
-1.2,1,0.443516
-1.35,6,0.44973
-1.35,6,0.455954
-1.29,4,0.460157
-1.44,9,0.469307
-1.29,4,0.473511
-1.29,4,0.477721
-1.2,1,0.478908
-1.23,2,0.481072
-1.2,1,0.482263
0.0,2,0.484529
-1.23,2,0.486718
-1.35,6,0.492883
-1.56,13,0.50612
-1.26,3,0.509329
-1.29,4,0.513494
-1.2,1,0.514663
-1.29,4,0.518856
-1.41,8,0.527055
-1.2,1,0.528247
-1.26,3,0.531429
-0.12,6,0.537764
-1.23,2,0.539935
-1.32,5,0.545136
-1.35,6,0.598884
-1.98,27,0.626244
-1.23,2,0.628443
-1.2,1,0.629626
-1.23,2,0.631808
-1.2,1,0.633011
-1.5,11,0.644238
-1.23,2,0.646422
-1.2,1,0.647607
-0.24,10,0.657975
-1.26,3,0.661166
-1.2,1,0.662376
-1.44,9,0.671643
-1.2,1,0.672823
-0.12,6,0.679259
-1.47,10,0.689515
-1.23,2,0.691722
-1.29,4,0.695898
-1.26,3,0.699113
-1.2,1,0.700306
-1.83,22,0.722499
-1.59,14,0.736789
-1.23,2,0.739003
-1.26,3,0.742195
-1.29,4,0.746404
-1.38,7,0.753616
-1.35,6,0.75982
-1.2,1,0.761012
-1.32,5,0.766225
-0.39,15,0.781605
-1.59,14,0.795832
-1.2,1,0.797026
-1.26,3,0.800221
-1.41,8,0.808444
-1.2,1,0.809629
-0.09,5,0.814913
-1.26,3,0.818107
-1.86,23,0.841352
-1.89,24,0.86566
-0.09,5,0.870955
-1.35,6,0.877185
-1.38,7,0.884384
-1.35,6,0.890617
-1.2,1,0.891805
-1.2,1,0.892997
-1.59,14,0.907319
-0.03,3,0.910608
-0.06,4,0.914922
-1.2,1,0.916124
-1.35,6,0.922383
-1.26,3,0.925581
-1.5,11,0.936848
-1.26,3,0.940039
-1.92,25,0.965361
-1.35,6,0.971554
-1.35,6,0.977762
-0.09,5,0.983097
