#{"t_start": 1775809709.2085102, "env_id": "None"}
r,l,t
-0.1,2,1.662748
-0.1,4,1.668505
-0.1,7,1.675731
-0.1,1,1.679847
-0.1,1,1.680479
-0.1,21,1.708952
-0.1,5,1.715102
-0.1,3,1.720213
-0.1,3,1.72539
-0.1,4,1.73114
-0.1,1,1.731732
-0.1,1,1.73233
-0.1,3,1.737495
-0.1,1,1.738146
-0.1,8,1.749399
-0.1,1,1.753531
-0.1,2,1.754685
0.8,10,1.770844
-0.1,2,1.771982
-0.1,1,1.772587
-0.1,2,1.777216
-0.1,1,1.777879
-0.1,1,1.778467
-0.1,4,1.784142
-0.1,2,1.788789
-0.1,3,1.79397
0.3,7,1.801352
-0.1,3,1.806525
-0.1,2,1.811185
-0.1,10,1.823402
-0.1,6,1.833593
0.4,30,1.873986
-0.1,5,1.880151
-0.1,3,1.885352
-0.1,10,1.901143
0.4,8,1.912871
-0.1,6,1.919569
-0.1,1,1.920229
-0.1,18,1.947153
-0.1,27,1.986203
0.4,3,1.987876
-0.1,2,1.9926
-0.1,1,1.993198
0.4,2,1.997894
-0.1,7,2.005085
-0.1,1,2.00925
-0.1,11,2.022222
0.3,3,2.027519
-0.1,1,2.028116
-0.1,2,2.032851
-0.1,11,2.049223
-0.1,5,2.055622
-0.1,1,2.05625
-0.1,1,2.056894
-0.1,14,2.078587
-0.1,2,2.079723
-0.1,1,2.083856
-0.1,8,2.09516
-0.1,2,2.096294
0.4,10,2.112388
-0.1,7,2.119571
-0.1,5,2.1293
-0.1,3,2.13094
-0.1,21,2.162943
-0.1,1,2.163573
-0.1,8,2.174823
-0.1,6,2.18149
0.3,5,2.191274
0.3,5,2.197656
-0.1,7,2.208434
-0.1,9,2.220232
-0.1,13,2.237486
-0.1,7,2.248296
-0.1,3,2.253848
0.3,8,2.265951
0.3,5,2.272824
-0.1,2,2.273955
0.3,3,2.279392
-0.1,4,2.285262
-0.1,7,2.296177
-0.1,12,2.313019
-0.1,2,2.31436
-0.1,3,2.31956
0.4,20,2.348112
-0.1,19,2.375601
-0.1,2,2.37677
-0.1,6,2.387295
-0.1,14,2.405144
-0.1,15,2.427055
-0.1,1,2.427728
-0.1,23,2.460903
-0.1,2,2.465585
-0.1,6,2.472291
-0.1,3,2.477518
-0.1,1,2.478101
-0.1,8,2.489383
0.3,12,2.506315
-0.1,1,2.506988
-0.1,2,2.511633
-0.1,2,2.512751
-0.1,1,2.516866
-0.1,2,2.518057
-0.1,4,2.523719
-0.1,1,2.524341
-0.1,1,2.52847
0.3,2,2.529727
-0.1,7,2.540467
-0.1,1,2.541067
0.3,3,2.546351
0.3,6,2.553303
0.3,9,2.568754
-0.1,1,2.569368
-0.1,6,2.576047
-0.1,1,2.580207
-0.1,6,2.586928
-0.1,2,2.59155
-0.1,3,2.593205
0.4,6,2.603479
-0.1,5,2.609855
-0.1,9,2.621565
-0.1,9,2.636817
-0.1,3,2.638716
-0.1,7,2.649399
-0.1,1,2.650009
-0.1,3,2.655171
0.3,9,2.667113
-0.1,3,2.672255
-0.1,7,2.683002
-0.1,1,2.683596
-0.1,17,2.706716
-0.1,1,2.710848
-0.1,1,2.711456
-0.1,9,2.723588
-0.1,1,2.724249
-0.1,3,2.729429
0.3,4,2.73523
-0.1,5,2.741542
-0.1,27,2.780102
-0.1,6,2.790344
-0.1,1,2.790958
0.3,5,2.797271
-0.1,2,2.802023
-0.1,2,2.803145
-0.1,3,2.808445
-0.1,12,2.825241
-0.1,1,2.82587
-0.1,13,2.84315
-0.1,11,2.85965
-0.1,4,2.865359
-0.1,8,2.876659
-0.1,5,2.882831
-0.1,3,2.887972
-0.1,10,2.90378
-0.1,1,2.904434
-0.1,2,2.905542
-0.1,2,2.91019
-0.1,3,2.91533
0.3,4,2.921112
-0.1,2,2.922251
0.4,2,2.926949
0.4,8,2.938455
-0.1,1,2.939139
-0.1,2,2.940243
-0.1,9,2.955609
-0.1,8,2.967012
-0.1,2,2.968199
-0.1,5,2.97437
-0.1,36,3.024459
-0.1,6,3.034694
-0.1,16,3.057104
-0.1,1,3.057711
-0.1,14,3.079039
0.3,3,3.080773
-0.1,1,3.084941
-0.1,6,3.09186
0.9,17,3.114928
-0.1,3,3.120062
-0.1,1,3.120713
-0.1,1,3.124846
-0.1,2,3.125978
-0.1,3,3.13114
-0.1,2,3.132297
-0.1,1,3.136424
-0.1,7,3.143774
0.4,4,3.149475
-0.1,5,3.159261
0.4,9,3.171185
0.4,2,3.172369
-0.1,5,3.182082
-0.1,2,3.183268
-0.1,18,3.210305
0.3,10,3.223009
-0.1,6,3.233287
-0.1,2,3.234469
0.8,8,3.245949
-0.1,28,3.285097
-0.1,1,3.285717
-0.1,3,3.290886
0.4,6,3.301423
-0.1,1,3.302068
0.4,13,3.319981
-0.1,7,3.330805
0.3,6,3.337661
-0.1,7,3.348615
-0.1,1,3.349226
-0.1,6,3.359576
-0.1,5,3.365789
-0.1,3,3.370958
-0.1,5,3.377178
-0.1,1,3.377846
-0.1,1,3.381998
0.4,10,3.394394
-0.1,6,3.404903
-0.1,20,3.432839
0.4,4,3.438595
-0.1,26,3.473222
-0.1,5,3.479428
-0.1,4,3.485148
-0.1,2,3.489822
-0.1,11,3.506106
-0.1,2,3.507257
-0.1,9,3.519044
-0.1,1,3.523179
-0.1,9,3.53492
-0.1,1,3.535507
0.4,2,3.540453
-0.1,1,3.541092
-0.1,21,3.570035
-0.1,2,3.574974
-0.1,7,3.58257
0.3,5,3.592606
-0.1,2,3.593917
-0.1,17,3.616857
-0.1,11,3.633214
-0.1,2,3.637917
0.3,8,3.649273
-0.1,4,3.654969
-0.1,6,3.661906
-0.1,8,3.673385
-0.1,4,3.679058
0.4,4,3.68487
-0.1,2,3.689566
-0.1,6,3.696286
0.3,24,3.730136
-0.1,13,3.747487
-0.1,4,3.753198
-0.1,16,3.775693
-0.1,1,3.779873
-0.1,3,3.781497
-0.1,7,3.792322
-0.1,1,3.792909
0.4,3,3.798145
0.4,7,3.809089
-0.1,1,3.80972
-0.1,9,3.821666
-0.1,8,3.832985
-0.1,1,3.837181
0.4,3,3.838945
-0.1,6,3.849254
-0.1,6,3.856306
-0.1,4,3.861991
-0.1,4,3.867712
-0.1,5,3.877548
-0.1,13,3.895299
-0.1,2,3.896402
-0.1,2,3.901183
0.3,10,3.913921
-0.1,4,3.919639
-0.1,9,3.935539
-0.1,5,3.94191
-0.1,2,3.943026
-0.1,7,3.954139
-0.1,2,3.958898
1.3,12,3.976681
-0.1,8,3.988224
-0.1,1,3.988826
-0.1,12,4.006127
-0.1,2,4.007281
-0.1,1,4.011558
-0.1,5,4.018148
0.3,23,4.052514
0.3,3,4.054317
-0.1,5,4.064411
-0.1,39,4.118583
-0.1,6,4.129605
0.3,11,4.147212
-0.1,3,4.148844
-0.1,1,4.153314
-0.1,1,4.153955
-0.1,5,4.160647
0.3,12,4.17868
0.3,10,4.195626
-0.1,3,4.197255
-0.1,7,4.208703
-0.1,5,4.215261
-0.1,9,4.231579
-0.1,8,4.243519
-0.1,6,4.250606
-0.1,1,4.251216
-0.1,1,4.255673
-0.1,11,4.269985
-0.1,10,4.287672
0.4,11,4.305652
-0.1,2,4.30684
-0.1,1,4.307451
-0.1,6,4.319078
-0.1,1,4.319674
-0.1,1,4.320263
-0.1,22,4.355671
-0.1,2,4.356843
-0.1,4,4.363015
-0.1,8,4.375182
0.3,7,4.386951
-0.1,5,4.393623
0.3,3,4.399317
0.4,6,4.410627
-0.1,6,4.417742
-0.1,1,4.418398
-0.1,1,4.42296
-0.1,1,4.423589
-0.1,5,4.430207
0.4,15,4.454111
0.4,14,4.473771
-0.1,4,4.479925
0.4,6,4.491236
-0.1,4,4.497473
-0.1,7,4.509158
0.3,14,4.528603
-0.1,3,4.534292
-0.1,9,4.547086
-0.1,5,4.553781
-0.1,9,4.57078
-0.1,3,4.57243
-0.1,2,4.577635
-0.1,3,4.583328
-0.1,13,4.602268
-0.1,1,4.602854
-0.1,3,4.60861
0.4,4,4.614863
0.4,4,4.621176
-0.1,4,4.627406
0.4,15,4.651649
-0.1,2,4.652776
-0.1,6,4.664109
-0.1,2,4.66524
-0.1,3,4.671
-0.1,7,4.682764
-0.1,1,4.683395
-0.1,1,4.683975
-0.1,2,4.689191
-0.1,7,4.696885
-0.1,13,4.719872
0.3,4,4.726417
-0.1,19,4.752718
-0.1,7,4.764503
-0.1,1,4.76513
-0.1,9,4.782043
-0.1,3,4.783722
0.3,3,4.78951
-0.1,6,4.800766
-0.1,8,4.813114
-0.1,9,4.826209
0.4,5,4.833098
-0.1,10,4.850428
-0.1,14,4.870217
0.3,4,4.876526
-0.1,6,4.88837
-0.1,5,4.895149
-0.1,1,4.895733
-0.1,1,4.896388
-0.1,1,4.901039
-0.1,2,4.90215
-0.1,6,4.913384
-0.1,2,4.914568
-0.1,16,4.939211
0.3,5,4.94594
-0.1,10,4.963498
-0.1,1,4.964142
-0.1,6,4.975372
-0.1,7,4.983091
-0.1,1,4.987721
-0.1,6,4.995203
-0.1,4,5.001481
0.3,4,5.007731
-0.1,1,5.008351
-0.1,1,5.013008
-0.1,2,5.014148
-0.1,10,5.031394
-0.1,8,5.043537
-0.1,3,5.045223
-0.1,3,5.080781
-0.1,25,5.118234
-0.1,12,5.136433
0.4,6,5.147837
0.4,3,5.153529
0.3,3,5.155442
0.3,2,5.160613
-0.1,15,5.184274
-0.1,1,5.184878
-0.1,10,5.197969
-0.1,12,5.21604
-0.1,6,5.227155
-0.1,1,5.227746
-0.1,5,5.234344
0.3,6,5.245465
-0.1,17,5.270202
-0.1,5,5.276738
-0.1,1,5.28128
-0.1,10,5.294296
-0.1,10,5.312134
0.9,35,5.362507
-0.1,10,5.37971
0.4,8,5.391806
-0.1,3,5.397435
-0.1,1,5.398057
-0.1,1,5.398641
-0.1,5,5.40519
0.3,5,5.415848
-0.1,13,5.434382
0.4,4,5.440624
-0.1,3,5.446175
-0.1,5,5.452779
-0.1,15,5.476394
-0.1,2,5.477531
-0.1,2,5.482566
-0.1,1,5.483222
-0.1,4,5.48942
0.3,5,5.496076
-0.1,5,5.502652
-0.1,3,5.508361
-0.1,1,5.508998
0.4,13,5.531581
-0.1,1,5.532193
-0.1,2,5.533347
0.3,3,5.539005
-0.1,8,5.551185
-0.1,5,5.557766
-0.1,28,5.599558
-0.1,11,5.617014
-0.1,1,5.617635
-0.1,2,5.622692
-0.1,6,5.62982
-0.1,1,5.634358
-0.1,2,5.635478
0.3,4,5.641657
-0.1,3,5.647313
0.3,12,5.665521
-0.1,8,5.677562
-0.1,1,5.678155
-0.1,2,5.683278
-0.1,10,5.696455
-0.1,4,5.702503
-0.1,1,5.70312
-0.1,5,5.713783
-0.1,2,5.714903
-0.1,1,5.715491
-0.1,2,5.720567
0.3,16,5.74494
-0.1,14,5.763994
-0.1,7,5.775709
-0.1,4,5.781807
-0.1,17,5.80632
-0.1,20,5.83642
0.9,4,5.842621
-0.1,1,5.847169
-0.1,1,5.847842
-0.1,12,5.866099
-0.1,1,5.866701
0.3,22,5.902331
-0.1,7,5.910031
-0.1,30,5.957556
0.3,6,5.965012
-0.1,1,5.969559
-0.1,2,5.970739
-0.1,1,5.97133
-0.1,4,5.977436
-0.1,4,5.983577
-0.1,2,5.988689
-0.1,11,6.006241
-0.1,1,6.006863
-0.1,8,6.019002
-0.1,1,6.019658
-0.1,3,6.025283
-0.1,7,6.036828
-0.1,7,6.04449
-0.1,12,6.062722
-0.1,3,6.068287
-0.1,12,6.086404
-0.1,4,6.09255
-0.1,22,6.127972
0.4,6,6.135201
-0.1,4,6.141346
-0.1,17,6.166043
-0.1,3,6.171661
-0.1,2,6.176808
-0.1,1,6.177426
0.4,5,6.184175
-0.1,1,6.184809
-0.1,2,6.189931
-0.1,4,6.196064
-0.1,1,6.196667
-0.1,8,6.208864
-0.1,8,6.221017
-0.1,10,6.238181
-0.1,3,6.23983
-0.1,7,6.251506
-0.1,1,6.252109
-0.1,8,6.264191
-0.1,3,6.27028
-0.1,2,6.275921
-0.1,20,6.307366
-0.1,7,6.315342
-0.1,2,6.32059
-0.1,5,6.327439
-0.1,12,6.345801
0.4,4,6.352119
-0.1,3,6.35772
-0.1,2,6.358899
-0.1,7,6.370625
0.3,7,6.382374
-0.1,7,6.394058
-0.1,9,6.406996
-0.1,5,6.413637
-0.1,10,6.430829
-0.1,1,6.431467
-0.1,3,6.437135
-0.1,1,6.437754
-0.1,4,6.443879
-0.1,13,6.463176
0.3,4,6.469644
-0.1,8,6.481804
-0.1,9,6.494655
-0.1,3,6.50033
-0.1,5,6.507042
-0.1,8,6.51917
0.3,10,6.53651
-0.1,1,6.537143
-0.1,10,6.554548
-0.1,4,6.560691
-0.1,1,6.561311
0.4,10,6.574795
0.4,4,6.581009
-0.1,1,6.585592
-0.1,4,6.591713
-0.1,1,6.592323
0.3,5,6.59919
-0.1,3,6.604839
-0.1,10,6.618047
