#{"t_start": 1775810894.2372563, "env_id": "None"}
r,l,t
-8.065,2,1.505074
-8.39,7,1.512308
-8.39,7,1.522956
-8.26,5,1.529144
-8.065,2,1.533807
-8.845,14,1.551579
-8.325,6,1.561788
1.545,9,1.573858
-8.26,5,1.580043
-8.26,5,1.589759
-8.0,1,1.59038
-8.845,14,1.608131
2.0,2,1.612834
-8.585,10,1.625177
-8.065,2,1.629773
-8.0,1,1.63039
-8.195,4,1.636019
-8.065,2,1.640678
-8.065,2,1.641818
1.675,7,1.65257
-8.195,4,1.658272
1.935,3,1.663589
-8.0,1,1.6642
-9.235,20,1.692317
-8.26,5,1.698683
-8.845,14,1.720025
-8.585,10,1.732432
-8.065,2,1.737042
-8.0,1,1.737672
-8.13,3,1.742881
-8.0,1,1.74349
-8.13,3,1.748608
-8.13,3,1.750247
-8.0,1,1.754421
-9.105,18,1.778439
-8.13,3,1.78374
-8.13,3,1.788996
-8.39,7,1.796316
-8.325,6,1.80654
-9.885,30,1.846901
-8.26,5,1.856556
-8.195,4,1.862234
-8.26,5,1.868579
-8.325,6,1.875259
-8.0,1,1.879373
-8.585,10,1.891709
-8.0,1,1.892306
-9.17,19,1.919612
-8.13,3,1.924801
-8.585,10,1.9371
-8.065,2,1.941738
-8.0,1,1.942329
-8.065,2,1.947326
1.74,6,1.954323
-8.13,3,1.959457
-8.065,2,1.960558
-8.26,5,1.970322
-8.0,1,1.970986
-8.195,4,1.976675
2.0,2,1.977874
-8.065,2,1.982492
1.48,10,1.994989
-8.065,2,1.999599
-8.065,2,2.000717
-8.065,2,2.005346
-8.065,2,2.006508
-8.585,10,2.022227
1.545,9,2.034223
1.675,7,2.045104
-8.195,4,2.050842
-8.975,16,2.073155
-8.0,1,2.073786
-8.26,5,2.079951
-8.585,10,2.095685
-8.39,7,2.106384
-8.0,1,2.107009
-10.145,34,2.152583
-8.39,7,2.163324
-8.0,1,2.163931
1.74,6,2.174202
-8.0,1,2.174807
-8.13,3,2.180007
-8.91,15,2.20202
-8.0,1,2.202645
-8.0,1,2.203232
-8.13,3,2.208412
-8.585,10,2.220864
-8.65,11,2.237281
-8.065,2,2.241888
-8.26,5,2.248124
-8.39,7,2.258801
-8.585,10,2.271039
-8.325,6,2.281303
-8.065,2,2.282684
-8.0,1,2.283278
-8.0,1,2.287385
-8.065,2,2.288522
-8.065,2,2.293182
-8.065,2,2.294309
-8.52,9,2.306181
-8.13,3,2.311429
-8.325,6,2.321683
-8.975,16,2.343965
-8.91,15,2.362591
-8.455,8,2.373847
-8.065,2,2.378524
-8.91,15,2.400559
-8.065,2,2.401885
-8.13,3,2.407055
1.155,15,2.429143
-8.845,14,2.447036
-8.065,2,2.451687
-8.065,2,2.452849
-8.0,1,2.453481
-8.0,1,2.457604
1.74,6,2.464422
-8.0,1,2.465012
-8.78,13,2.485949
-8.325,6,2.492659
-8.0,1,2.493284
-8.0,1,2.497407
-8.78,13,2.514762
-8.0,1,2.515364
-8.39,7,2.526096
1.675,7,2.536896
-9.105,18,2.560386
-8.065,2,2.565022
-8.13,3,2.566875
-8.325,6,2.577085
-8.455,8,2.588474
-8.0,1,2.589068
-8.26,5,2.595205
-8.585,10,2.610925
-8.0,1,2.611559
-8.39,7,2.622294
-8.78,13,2.639603
-8.195,4,2.645321
-8.0,1,2.645982
-8.975,16,2.668523
-8.585,10,2.684763
-8.13,3,2.689919
-8.065,2,2.691115
-9.105,18,2.718071
1.805,5,2.724378
-8.0,1,2.724984
-8.065,2,2.729639
-8.91,15,2.747946
-8.715,12,2.764708
-8.13,3,2.769855
-8.0,1,2.7705
-8.065,2,2.775158
-8.195,4,2.781354
-8.065,2,2.782499
2.0,2,2.787714
-8.39,7,2.799401
-8.0,1,2.800016
-8.715,12,2.81701
1.35,12,2.834037
-8.65,11,2.8504
-8.0,1,2.851036
-10.21,35,2.900825
-8.26,5,2.907081
-8.325,6,2.913907
2.0,2,2.91862
-8.65,11,2.93492
-8.065,2,2.9361
-8.325,6,2.946293
-8.13,3,2.947941
-8.325,6,2.958138
-9.43,23,2.991524
-8.26,5,2.997761
2.0,2,2.998961
-8.0,1,3.00308
-8.78,13,3.020713
-8.975,16,3.043288
-8.26,5,3.049443
-8.065,2,3.054067
-8.585,10,3.066375
-8.065,2,3.070991
-8.065,2,3.072125
-8.195,4,3.077801
1.87,4,3.083562
-8.065,2,3.088202
1.74,6,3.095002
-8.13,3,3.100208
-8.975,16,3.122711
-8.065,2,3.123824
2.0,2,3.128522
-8.065,2,3.129628
-8.325,6,3.139824
-9.3,21,3.16836
-8.065,2,3.172973
-8.26,5,3.179162
-8.0,1,3.179799
-8.585,10,3.195718
-8.0,1,3.196339
-8.0,1,3.196944
-8.39,7,3.207839
-8.065,2,3.208964
-8.195,4,3.214596
-8.325,6,3.224913
-8.195,4,3.230641
-9.3,21,3.259181
-8.065,2,3.263799
-8.39,7,3.271021
-9.04,17,3.297708
-8.195,4,3.303408
-8.975,16,3.32569
1.025,17,3.348893
-8.0,1,3.349561
-8.91,15,3.371878
-8.325,6,3.378572
-8.065,2,3.383212
-9.105,18,3.406589
-9.04,17,3.433246
-8.065,2,3.434385
-8.715,12,3.451226
-8.715,12,3.468091
-8.65,11,3.484483
-8.715,12,3.501707
-8.065,2,3.502928
-8.065,2,3.507624
-8.065,2,3.508731
1.805,5,3.518461
-8.0,1,3.519086
-8.52,9,3.53086
-9.17,19,3.558554
-8.065,2,3.559675
-9.56,25,3.597339
1.74,6,3.604489
-8.0,1,3.605074
1.87,4,3.610887
-8.0,1,3.615024
-8.195,4,3.620775
1.87,4,3.626577
1.48,10,3.639279
-8.39,7,3.650026
-8.13,3,3.65527
1.935,3,3.657004
-8.13,3,3.662196
-8.13,3,3.667379
-8.26,5,3.673662
-8.195,4,3.679363
-8.0,1,3.679965
1.935,3,3.685207
-8.26,5,3.691471
-8.52,9,3.706772
-8.0,1,3.70741
-9.04,17,3.730576
-8.065,2,3.735329
-8.0,1,3.735974
1.545,9,3.747993
-8.0,1,3.748623
-8.91,15,3.770772
-8.0,1,3.771396
-8.52,9,3.787843
-9.3,21,3.816937
-8.195,4,3.822728
-8.0,1,3.823344
-8.065,2,3.828015
-8.0,1,3.828642
-8.13,3,3.834081
-8.585,10,3.846449
1.675,7,3.857488
-8.13,3,3.862664
-8.0,1,3.863352
-8.065,2,3.864472
0.96,18,3.891768
-8.065,2,3.892889
-8.455,8,3.90421
1.87,4,3.910034
1.025,17,3.936978
-8.26,5,3.943314
-8.0,1,3.943974
11.935,4,3.949846
-8.52,9,3.962009
-8.325,6,3.972446
1.61,8,3.98407
-8.715,12,4.001271
1.285,13,4.01918
-8.65,11,4.035908
2.0,2,4.037137
-8.0,1,4.041409
-8.39,7,4.048776
1.935,3,4.05422
-8.13,3,4.059623
-9.105,18,4.084126
-8.065,2,4.088977
2.0,2,4.090126
-8.195,4,4.096039
0.895,19,4.124911
-8.13,3,4.130369
-8.52,9,4.14287
-8.0,1,4.143548
-8.0,1,4.14795
1.935,3,4.149693
-8.0,1,4.15411
-8.455,8,4.16595
-8.0,1,4.166578
2.0,2,4.167748
-8.13,3,4.173197
-8.0,1,4.173858
-8.91,15,4.197214
-8.13,3,4.202711
-8.13,3,4.208224
-8.0,1,4.2089
-8.065,2,4.210017
-8.13,3,4.215517
-8.26,5,4.222044
-8.0,1,4.226583
-8.0,1,4.227222
-9.04,17,4.251925
-8.0,1,4.252528
-8.26,5,4.26298
-8.26,5,4.26963
11.675,8,4.281885
-8.455,8,4.293947
-8.195,4,4.300076
-9.43,23,4.335997
-9.495,24,4.372515
-9.17,19,4.398295
-8.195,4,4.40449
-8.715,12,4.422721
-8.78,13,4.445513
-8.325,6,4.452721
-8.455,8,4.465127
-8.13,3,4.470827
-8.585,10,4.484111
-8.195,4,4.490328
-8.065,2,4.495541
-8.325,6,4.502767
-8.13,3,4.508489
-8.325,6,4.51983
-8.065,2,4.521013
-8.715,12,4.53966
-8.0,1,4.540282
-8.065,2,4.545511
-8.455,8,4.55788
1.48,10,4.571433
-8.195,4,4.577626
-8.0,1,4.582311
-8.39,7,4.590148
2.0,2,4.595428
-8.39,7,4.607252
21.61,10,4.621443
-8.65,11,4.639917
0.96,18,4.66605
-8.0,1,4.670794
-8.78,13,4.689894
-8.715,12,4.708517
-8.455,8,4.720971
-8.065,2,4.722097
-8.0,1,4.726794
-8.065,2,4.727958
-8.13,3,4.733718
-8.13,3,4.739465
-8.065,2,4.740619
-8.13,3,4.746441
-8.065,2,4.747566
-8.195,4,4.753802
1.48,10,4.771743
-8.0,1,4.772426
-8.91,15,4.798352
-8.0,1,4.79898
-8.325,6,4.810762
-8.0,1,4.811449
-8.195,4,4.817761
-8.39,7,4.829769
-8.585,10,4.84338
1.87,4,4.849793
-8.065,2,4.855422
1.87,4,4.862153
-8.0,1,4.862769
-8.0,1,4.86343
-8.52,9,4.876466
1.48,10,4.89423
-8.065,2,4.89534
-8.195,4,4.901676
-8.0,1,4.906424
-8.0,1,4.907049
2.0,2,4.90825
-8.455,8,4.92075
-8.78,13,4.944016
-8.13,3,4.94566
-8.0,1,4.950425
1.48,10,4.96414
-8.39,7,4.976113
-8.715,12,4.994756
-8.26,5,5.001538
-8.78,13,5.020734
-8.0,1,5.025456
-8.195,4,5.056942
-8.585,10,5.070376
2.0,2,5.075751
-8.65,11,5.089953
-8.325,6,5.101365
-8.13,3,5.107123
-8.065,2,5.108306
-8.325,6,5.119649
-8.0,1,5.120262
-8.26,5,5.126965
-8.0,1,5.127611
-8.0,1,5.132307
-8.0,1,5.132935
2.0,2,5.134273
-8.39,7,5.146155
-8.065,2,5.151347
-8.65,11,5.165161
-8.39,7,5.176967
-8.195,4,5.183258
-8.195,4,5.189634
-8.39,7,5.20143
-8.13,3,5.207113
-8.195,4,5.21341
-8.195,4,5.219601
-8.325,6,5.22685
-8.325,6,5.238144
1.805,5,5.245035
-8.065,2,5.24615
-8.13,3,5.251829
2.0,2,5.257071
-8.26,5,5.263846
-8.13,3,5.26974
-8.0,1,5.270371
-8.065,2,5.271482
-8.065,2,5.27671
-8.195,4,5.282903
-10.015,32,5.331716
-8.195,4,5.337948
1.48,10,5.351518
-8.26,5,5.362172
-8.065,2,5.363318
1.74,6,5.3747
-9.95,31,5.418806
-8.585,10,5.435966
1.74,6,5.443227
-8.91,15,5.467005
-8.39,7,5.478712
-8.39,7,5.491029
-8.13,3,5.492679
-8.585,10,5.509884
1.935,3,5.515619
1.025,17,5.540507
-8.065,2,5.541611
-9.82,29,5.588233
-8.13,3,5.589911
-8.13,3,5.595542
-8.195,4,5.601629
-8.195,4,5.607727
-8.13,3,5.61338
-8.0,1,5.613997
-8.065,2,5.619055
-8.065,2,5.620193
-8.065,2,5.625334
-8.0,1,5.625935
-8.065,2,5.627036
-8.455,8,5.639132
-8.065,2,5.644279
-8.975,16,5.668387
-8.39,7,5.680149
1.74,6,5.687456
-8.52,9,5.700114
-8.065,2,5.705206
2.0,2,5.706375
-8.195,4,5.712466
-9.105,18,5.741588
-8.91,15,5.765564
-8.52,9,5.778151
-8.78,13,5.798325
-8.065,2,5.803528
-8.13,3,5.805197
-8.13,3,5.81085
-8.585,10,5.828016
-8.065,2,5.829394
-8.0,1,5.829988
-8.0,1,5.834584
-8.065,2,5.835746
-8.52,9,5.8488
1.935,3,5.854505
-8.065,2,5.859625
-8.455,8,5.871945
-8.455,8,5.884299
-8.0,1,5.884907
-8.065,2,5.886019
-8.195,4,5.89211
-8.065,2,5.897258
-8.26,5,5.903833
-8.52,9,5.916495
-8.78,13,5.939029
-8.0,1,5.93969
-8.26,5,5.946313
-8.78,13,5.964901
-8.0,1,5.969456
-8.13,3,5.971312
-8.0,1,5.975872
1.935,3,5.977611
1.675,7,5.989578
-8.195,4,5.996109
-8.78,13,6.014819
1.675,7,6.026459
-8.195,4,6.032572
2.0,2,6.037771
-8.325,6,6.044874
-8.13,3,6.05047
-8.195,4,6.056579
1.675,7,6.068348
-8.13,3,6.069978
2.0,2,6.075248
-8.13,3,6.080812
-8.0,1,6.081475
1.74,6,6.088725
-9.04,17,6.117619
-8.065,2,6.118762
-8.65,11,6.136814
-8.065,2,6.137942
-8.13,3,6.143735
-8.0,1,6.144338
-8.0,1,6.148924
-8.0,1,6.149557
-8.585,10,6.162659
-8.0,1,6.167212
-8.0,1,6.167878
-8.39,7,6.179487
-8.065,2,6.180604
-8.455,8,6.192714
-8.845,14,6.215832
1.35,12,6.234494
-8.26,5,6.241122
-8.065,2,6.242418
-8.39,7,6.254001
-8.0,1,6.254635
1.675,7,6.266455
-8.325,6,6.277834
-8.0,1,6.278511
1.935,3,6.284185
-8.26,5,6.291013
-8.65,11,6.308573
1.545,9,6.321317
-8.065,2,6.322429
-8.065,2,6.327484
1.74,6,6.33479
-8.325,6,6.345857
1.675,7,6.357578
-8.065,2,6.358699
-8.065,2,6.363787
-8.0,1,6.364445
-8.065,2,6.365543
-8.13,3,6.371133
-8.26,5,6.377731
-8.195,4,6.383871
-8.65,11,6.401427
-8.065,2,6.406482
1.35,12,6.425046
-8.0,1,6.425729
-8.065,2,6.42684
0.7,22,6.462219
-8.455,8,6.474289
-8.455,8,6.486427
-8.0,1,6.487045
-8.13,3,6.492614
-8.0,1,6.493242
-8.26,5,6.500092
-8.0,1,6.504626
-8.26,5,6.511243
-8.0,1,6.511838
2.0,2,6.516969
-8.78,13,6.535707
-8.0,1,6.536306
-8.195,4,6.542416
11.87,5,6.549241
-8.065,2,6.554473
-8.26,5,6.561049
1.415,11,6.578805
-8.0,1,6.579456
-8.325,6,6.590688
-8.065,2,6.591826
-8.845,14,6.614816
-8.975,16,6.639153
1.545,9,6.652252
1.74,6,6.65986
-8.39,7,6.671487
-8.26,5,6.67818
-8.0,1,6.68276
1.935,3,6.684445
-8.26,5,6.695074
1.285,13,6.714518
1.675,7,6.726535
-8.065,2,6.727656
-8.39,7,6.739275
-8.13,3,6.744888
-8.13,3,6.746534
-8.065,2,6.751621
-8.39,7,6.76321
-8.52,9,6.776282
-8.0,1,6.776886
-8.0,1,6.777494
-8.13,3,6.783272
-8.065,2,6.788841
-8.26,5,6.796065
-8.0,1,6.796757
-8.13,3,6.803117
1.415,11,6.821356
-8.65,11,6.835208
-8.0,1,6.839789
1.285,13,6.8586
-8.0,1,6.859246
-8.065,2,6.864349
-9.17,19,6.890066
1.935,3,6.895732
-8.065,2,6.900841
-9.43,23,6.932912
1.935,3,6.938605
-8.065,2,6.943664
-8.065,2,6.944853
-8.195,4,6.950978
-8.325,6,6.962239
-9.17,19,6.988278
-8.26,5,6.99891
-8.975,16,7.023219
-8.13,3,7.024854
-9.495,24,7.06108
2.0,2,7.06633
-8.065,2,7.067445
-9.495,24,7.104089
-8.195,4,7.110208
-8.0,1,7.114812
-8.325,6,7.121951
-8.13,3,7.127791
-8.065,2,7.128912
-8.0,1,7.133539
-8.13,3,7.13516
-8.0,1,7.139767
-8.455,8,7.151937
-8.0,1,7.152622
1.285,13,7.171924
11.61,9,7.184978
1.74,6,7.196336
-8.585,10,7.209803
0.635,23,7.246302
-8.39,7,7.257981
-8.065,2,7.25933
-8.0,1,7.263955
-8.065,2,7.265083
-8.13,3,7.270898
-8.26,5,7.277553
-8.065,2,7.282699
-8.52,9,7.295362
1.61,8,7.307568
1.545,9,7.320294
-8.0,1,7.320937
-8.0,1,7.325513
1.805,5,7.332214
-8.715,12,7.350536
-8.0,1,7.351197
-8.455,8,7.363326
-8.0,1,7.363916
-8.13,3,7.369521
-8.13,3,7.375202
-8.26,5,7.381831
-8.0,1,7.382457
-8.52,9,7.399151
1.675,7,7.406953
-8.0,1,7.411526
-8.0,1,7.412154
1.87,4,7.418503
-9.365,22,7.449927
1.415,11,7.46791
-8.0,1,7.468528
-8.325,6,7.479641
-8.0,1,7.480288
-8.065,2,7.485358
-8.0,1,7.485978
-9.04,17,7.510659
-8.065,2,7.515825
-8.0,1,7.516456
-8.0,1,7.517032
-8.26,5,7.523651
-8.585,10,7.540825
-8.13,3,7.546399
1.935,3,7.548134
-8.715,12,7.566693
-8.715,12,7.585012
-8.13,3,7.590759
-8.455,8,7.602998
-8.13,3,7.608621
2.0,2,7.609864
-8.26,5,7.620489
11.87,5,7.627326
-8.26,5,7.633967
-8.325,6,7.64528
-8.26,5,7.651928
-8.0,1,7.652548
1.155,15,7.676323
-8.0,1,7.676977
-8.065,2,7.682061
-8.26,5,7.688887
1.35,12,7.707575
1.805,5,7.714349
0.96,18,7.743429
-8.065,2,7.744583
-8.26,5,7.751194
-8.52,9,7.767823
-8.325,6,7.775205
-8.91,15,7.800241
-8.065,2,7.801393
-8.26,5,7.812474
-8.26,5,7.819175
1.935,3,7.824881
-8.195,4,7.831021
-8.39,7,7.838937
-8.26,5,7.849565
1.155,15,7.869476
-8.13,3,7.875082
2.0,2,7.88047
-8.0,1,7.881093
-8.39,7,7.8927
-9.04,17,7.917441
-8.13,3,7.923087
-8.26,5,7.929744
-9.04,17,7.954554
-8.715,12,7.9732
1.545,9,7.986216
2.0,2,7.991409
1.935,3,7.997069
-8.0,1,7.99768
-8.065,2,7.99903
-8.065,2,8.00413
-8.065,2,8.005239
-9.17,19,8.035035
2.0,2,8.040229
-8.39,7,8.048058
1.675,7,8.059896
-8.26,5,8.066529
0.83,20,8.097064
1.805,5,8.107815
-8.0,1,8.108439
-8.065,2,8.109726
-8.0,1,8.114372
-8.325,6,8.121733
-8.0,1,8.122361
-8.26,5,8.132887
-8.26,5,8.139605
-8.52,9,8.152255
-8.325,6,8.163569
-9.365,22,8.195113
-8.325,6,8.206248
-8.0,1,8.206854
-8.325,6,8.213956
-9.95,31,8.26179
-8.26,5,8.268495
1.675,7,8.280459
-8.325,6,8.291601
1.545,9,8.304438
1.09,16,8.32882
-8.325,6,8.335967
-8.065,2,8.341091
-9.04,17,8.366107
1.61,8,8.378714
-8.455,8,8.391033
-8.0,1,8.39164
-8.195,4,8.397773
-8.065,2,8.402931
-8.0,1,8.403553
-9.43,23,8.439505
-8.0,1,8.440095
-8.065,2,8.445271
-8.13,3,8.446885
-8.065,2,8.452026
-8.39,7,8.463797
-9.04,17,8.488498
-8.13,3,8.494088
-8.065,2,8.495221
-8.325,6,8.506329
-8.65,11,8.520096
-8.975,16,8.544671
-8.195,4,8.550799
-8.13,3,8.556403
-8.325,6,8.567543
-8.195,4,8.573872
-8.0,1,8.574508
-8.195,4,8.580632
-8.455,8,8.592835
-8.065,2,8.593946
-9.04,17,8.622836
1.805,5,8.629746
-8.455,8,8.642003
1.48,10,8.655747
-8.0,1,8.660321
-8.0,1,8.660933
-10.665,42,8.723174
-8.455,8,8.735299
-8.0,1,8.739884
-8.065,2,8.741021
-8.0,1,8.741682
-8.325,6,8.752809
-8.325,6,8.760274
-8.455,8,8.772412
1.545,9,8.789701
1.935,3,8.791467
-8.845,14,8.815999
-8.065,2,8.817126
-8.0,1,8.82185
-8.195,4,8.828055
-8.065,2,8.829203
-8.325,6,8.840718
11.675,8,8.853216
1.935,3,8.854898
-8.0,1,8.859511
-8.0,1,8.86013
-8.455,8,8.872536
2.0,2,8.873719
11.87,5,8.884569
-9.3,21,8.915633
-8.0,1,8.916302
-8.065,2,8.921427
-8.065,2,8.922549
1.48,10,8.940544
-10.015,32,8.989897
0.895,19,9.016491
1.74,6,9.027999
-8.0,1,9.028627
-8.26,5,9.035328
-8.39,7,9.047216
1.48,10,9.065412
-8.0,1,9.066044
-8.0,1,9.066677
-8.0,1,9.067295
-8.195,4,9.073645
2.0,2,9.078837
-8.0,1,9.079507
-8.065,2,9.084619
1.545,9,9.097461
-8.65,11,9.115258
11.675,8,9.127928
-8.52,9,9.140657
-8.26,5,9.147345
-8.39,7,9.15905
-8.0,1,9.159705
1.545,9,9.17258
-8.455,8,9.184758
-8.26,5,9.195641
-8.52,9,9.208438
-8.13,3,9.214247
1.35,12,9.232665
-8.065,2,9.233807
-8.0,1,9.234442
1.545,9,9.251434
-9.625,26,9.289255
1.675,7,9.301297
-8.0,1,9.301925
-8.065,2,9.307066
1.675,7,9.315081
-8.455,8,9.327277
-8.845,14,9.350596
-8.585,10,9.364066
1.155,15,9.388097
-8.0,1,9.388724
-8.39,7,9.400486
1.87,4,9.406712
-8.65,11,9.424514
-8.39,7,9.43628
-8.13,3,9.437995
1.87,4,9.444248
0.96,18,9.473809
-8.0,1,9.474439
-8.455,8,9.486736
1.74,6,9.498195
1.61,8,9.510892
-8.065,2,9.512041
-8.975,16,9.536599
-8.325,6,9.54779
-8.0,1,9.54841
-8.0,1,9.548983
1.61,8,9.561506
-8.195,4,9.567694
1.48,10,9.585196
1.48,10,9.598676
-8.0,1,9.599323
-8.065,2,9.60446
-8.78,13,9.623226
-8.13,3,9.628904
-0.145,35,9.683342
-8.0,1,9.683969
1.87,4,9.690588
-8.325,6,9.697945
-8.39,7,9.709879
1.48,10,9.727679
-8.91,15,9.747742
-8.845,14,9.77103
-8.0,1,9.771696
1.87,4,9.777902
-8.0,1,9.778525
-8.26,5,9.789409
-8.065,2,9.790665
-8.0,1,9.791265
-9.495,24,9.828565
-8.0,1,9.833173
-8.26,5,9.839928
-8.0,1,9.840524
1.805,5,9.847353
-8.0,1,9.851952
-8.0,1,9.852641
-8.65,11,9.870536
-8.845,14,9.889841
-8.065,2,9.895007
-9.755,28,9.937965
-8.065,2,9.93929
-8.195,4,9.945403
-8.0,1,9.946005
1.415,11,9.964491
