#{"t_start": 1775808545.3582988, "env_id": "None"}
r,l,t
-1.2,1,1.633185
0.0,2,1.634779
-1.2,1,1.635395
-1.2,4,1.641209
0.0,23,1.67447
0.0,2,1.679189
-1.2,2,1.680308
0.0,8,1.691624
-1.2,4,1.697304
-1.2,5,1.703498
-1.2,2,1.708199
-1.2,38,1.759269
-1.2,2,1.763929
-1.2,9,1.77566
-1.2,2,1.780297
-1.2,5,1.786535
-1.2,1,1.787132
-1.2,8,1.798439
-1.2,2,1.803099
-1.2,10,1.815606
-1.2,2,1.82024
0.0,3,1.821995
-1.2,6,1.832256
-1.2,10,1.844531
-1.2,1,1.848631
0.0,8,1.859932
0.0,5,1.866245
-1.2,11,1.882466
-1.2,1,1.883067
-1.2,1,1.883734
0.0,24,1.917528
-1.2,2,1.922173
0.0,4,1.927957
-1.2,2,1.92913
0.0,5,1.935393
-1.2,5,1.94504
-1.2,2,1.946176
-1.2,6,1.956584
-1.2,1,1.957214
0.0,3,1.962445
-1.2,16,1.984973
-1.2,26,2.019918
0.0,4,2.025703
-1.2,1,2.026299
-1.2,2,2.030901
-1.2,7,2.041816
-1.2,2,2.042959
2.4,13,2.060811
-1.2,1,2.064903
-1.2,1,2.065557
-1.2,1,2.066159
-1.2,1,2.066747
-1.2,11,2.083055
-1.2,7,2.093908
0.0,7,2.104781
-1.2,5,2.111005
-1.2,1,2.1116
-1.2,15,2.13358
0.0,7,2.144482
-1.2,7,2.1517
-1.2,1,2.155823
-1.2,8,2.167172
-1.2,21,2.195801
0.0,6,2.202833
-1.2,6,2.21304
-1.2,11,2.229911
-1.2,2,2.231112
0.0,9,2.243818
-1.2,11,2.260759
-1.2,1,2.261457
-1.2,1,2.26565
0.0,6,2.272495
-1.2,7,2.28334
-1.2,3,2.288781
-1.2,3,2.290424
0.0,13,2.311568
1.2,5,2.317999
-1.2,2,2.319171
-1.2,3,2.324321
-1.2,8,2.335575
-1.2,1,2.336195
0.0,7,2.347048
-1.2,2,2.351663
0.0,5,2.358051
-1.2,9,2.370295
0.0,2,2.375039
-1.2,4,2.380673
-1.2,5,2.386903
0.0,21,2.416179
-1.2,1,2.416815
-1.2,5,2.426463
-1.2,4,2.432118
-1.2,3,2.433772
-1.2,21,2.465716
-1.2,2,2.466856
-1.2,10,2.482651
-1.2,2,2.483778
-1.2,22,2.516392
0.0,5,2.522678
0.0,15,2.545155
-1.2,1,2.545767
-1.2,7,2.556573
-1.2,4,2.562232
-1.2,1,2.562864
-1.2,11,2.579107
-1.2,11,2.592064
-1.2,15,2.614081
-1.2,1,2.614708
0.0,2,2.619401
