#{"t_start": 1775803203.1865678, "env_id": "None"}
r,l,t
-1.47,10,1.654317
-1.2,1,1.65534
-1.35,6,1.660941
-1.59,14,1.673878
-1.8,21,1.69313
-1.32,5,1.697785
-1.2,1,1.698874
-1.2,1,1.699906
-1.47,10,1.709087
-1.38,7,1.71566
-0.03,3,1.71864
-0.51,19,1.736202
-1.29,4,1.739961
0.96,11,1.750437
-1.29,4,1.754183
-1.23,2,1.756103
-1.23,2,1.758042
-1.2,1,1.759059
-1.32,5,1.763725
-1.32,5,1.768385
-1.2,1,1.769408
-0.06,4,1.773203
-1.2,1,1.774214
-1.2,1,1.775229
-1.59,14,1.78809
-1.2,1,1.789114
-1.56,13,1.801065
-1.98,27,1.825754
-1.29,4,1.829519
-1.5,11,1.839689
-1.2,1,1.840714
-1.26,3,1.843572
-1.26,3,1.846423
-1.74,19,1.86384
-1.29,4,1.867613
-1.41,8,1.875025
1.2,3,1.87799
-1.56,13,1.889928
-1.2,1,1.890935
-1.23,2,1.892886
-1.92,25,1.915716
-0.09,5,1.920455
-0.12,6,1.92612
-1.44,9,1.934442
-1.35,6,1.940034
-1.26,3,1.942902
-1.26,3,1.945743
0.0,2,1.947731
-1.41,8,1.955096
-1.35,6,1.960653
-1.2,1,1.961672
-0.09,5,1.966457
0.0,2,1.968482
-1.23,2,1.970429
-1.53,12,1.981387
-0.06,4,1.985259
-0.09,5,1.990062
-0.03,3,1.992993
-1.2,1,1.994024
-1.62,15,2.007741
-1.23,2,2.009696
-1.32,5,2.014354
-1.32,5,2.019005
-1.68,17,2.034533
-1.95,26,2.058348
-1.2,1,2.059367
-1.2,1,2.060368
-1.29,4,2.064101
-0.06,4,2.068002
-1.26,3,2.070847
-0.06,4,2.074764
-1.38,7,2.081206
-1.2,1,2.082233
-0.03,3,2.085188
-1.41,8,2.092583
-1.32,5,2.097245
-1.35,6,2.102803
0.0,2,2.104817
-1.32,5,2.109473
-1.2,1,2.110485
-1.2,1,2.111502
-0.45,17,2.127094
-1.32,5,2.131766
-0.36,14,2.14488
-1.2,1,2.145899
-0.12,6,2.151535
-1.23,2,2.153465
-1.29,4,2.157212
-0.45,17,2.172874
-1.26,3,2.175722
-2.01,28,2.410085
-1.2,1,2.411141
-1.53,12,2.422176
-1.56,13,2.434109
-1.2,1,2.435126
-1.44,9,2.443468
-1.35,6,2.449037
-1.23,2,2.450987
-1.35,6,2.456579
-1.47,10,2.465817
-1.44,9,2.474167
-1.2,1,2.475172
-1.2,1,2.476193
-1.41,8,2.483602
-1.53,12,2.494661
-1.2,1,2.495687
-0.33,13,2.50782
-1.26,3,2.510679
-1.23,2,2.512632
-1.23,2,2.514575
-1.29,4,2.518366
-1.68,17,2.53394
-0.18,8,2.54166
-0.03,3,2.54459
-1.65,16,2.559221
-1.62,15,2.572984
-1.44,9,2.58131
-1.29,4,2.585062
-1.41,8,2.592443
-1.2,1,2.593477
-1.29,4,2.597235
-1.5,11,2.607421
-1.77,20,2.625766
-0.24,10,2.635182
-1.29,4,2.639765
-1.26,3,2.642678
-1.26,3,2.64556
-1.53,12,2.656676
-1.47,10,2.665992
-1.26,3,2.668836
-1.2,1,2.669841
-1.23,2,2.671762
-1.47,10,2.680969
-1.23,2,2.682903
-1.2,1,2.68392
-1.86,23,2.704971
-1.32,5,2.709599
-1.2,1,2.710614
-1.38,7,2.717071
1.08,7,2.723729
-0.27,11,2.734206
-1.53,12,2.745227
-1.2,1,2.746234
-0.36,14,2.759256
-0.15,7,2.765986
-1.2,1,2.767014
-1.38,7,2.773463
-1.41,8,2.780844
-1.56,13,2.792741
-1.2,1,2.793759
-1.41,8,2.801137
-1.32,5,2.805755
1.02,9,2.814477
-1.47,10,2.823695
-1.26,3,2.826543
-1.23,2,2.828472
-1.5,11,2.838585
-1.35,6,2.844227
-0.18,8,2.851717
-1.23,2,2.85367
-1.32,5,2.858332
-1.41,8,2.865695
-1.26,3,2.86852
-1.41,8,2.875947
-1.2,1,2.876961
-1.2,1,2.877982
-1.23,2,2.87989
-1.2,1,2.880901
-1.23,2,2.882826
-1.38,7,2.889301
-1.2,1,2.890321
-0.12,6,2.896101
-1.26,3,2.898948
-1.23,2,2.900897
-1.35,6,2.906447
-0.18,8,2.914029
-1.56,13,2.925928
-1.23,2,2.927874
-1.32,5,2.932511
-1.32,5,2.937195
-1.23,2,2.939108
-1.29,4,2.942867
-1.29,4,2.946614
-1.41,8,2.954062
-1.2,1,2.955074
-1.53,12,2.966077
-1.23,2,2.967976
-1.44,9,2.976238
-2.1,31,3.004476
-1.2,1,3.005493
-1.2,1,3.006515
-1.35,6,3.012094
-1.44,9,3.020404
-1.23,2,3.022325
-1.32,5,3.027003
-1.2,1,3.028025
-1.2,1,3.029052
-1.32,5,3.033688
-1.92,25,3.056521
-1.35,6,3.062079
-1.32,5,3.066709
-1.35,6,3.072299
-1.26,3,3.075132
0.0,2,3.077122
-1.2,1,3.078137
-1.26,3,3.081
-1.23,2,3.082945
-1.26,3,3.085735
1.11,6,3.091523
-1.2,1,3.092542
-0.36,14,3.105656
-1.23,2,3.107571
-1.29,4,3.111328
-1.44,9,3.119601
-1.29,4,3.123346
-1.23,2,3.125276
-1.2,1,3.126288
-1.47,10,3.135486
-1.2,1,3.136497
-1.23,2,3.138441
-1.83,22,3.158844
-1.2,1,3.159894
-1.95,26,3.183976
-0.06,4,3.187908
-0.45,17,3.203568
-1.23,2,3.205556
-1.53,12,3.216589
-1.53,12,3.227624
-1.23,2,3.229544
-1.74,19,3.246982
-0.45,17,3.262599
-1.38,7,3.2691
-1.2,1,3.270113
1.11,6,3.27595
-1.26,3,3.278768
-1.35,6,3.284326
-1.23,2,3.286267
-0.12,6,3.292042
-1.26,3,3.294883
-1.29,4,3.298629
-0.15,7,3.305233
-1.2,1,3.306255
-1.26,3,3.309092
-1.29,4,3.312832
-1.2,1,3.313849
-1.29,4,3.317635
-1.2,1,3.318657
-1.29,4,3.322416
-1.2,1,3.323422
-0.06,4,3.327262
-1.53,12,3.338306
-0.09,5,3.343099
-1.41,8,3.558801
-1.59,14,3.571704
-0.33,13,3.583746
-1.38,7,3.590235
-1.23,2,3.592174
-0.15,7,3.598797
-1.23,2,3.600722
-1.23,2,3.602649
-1.29,4,3.606382
-1.38,7,3.612861
-1.26,3,3.615713
-0.12,6,3.621504
-1.2,1,3.62252
-1.23,2,3.624441
-0.18,8,3.631957
-1.26,3,3.634807
-1.2,1,3.635811
-1.32,5,3.640866
-1.44,9,3.649281
-1.98,27,3.674076
-1.2,1,3.675105
-1.2,1,3.676134
-1.23,2,3.678073
-1.38,7,3.68455
-1.2,1,3.68556
0.0,2,3.687587
-1.44,9,3.695876
-1.23,2,3.697815
-1.26,3,3.700673
-1.23,2,3.70262
-1.5,11,3.712766
-1.35,6,3.718383
-1.35,6,3.723979
-1.2,1,3.725006
-1.2,1,3.726022
-1.2,1,3.727039
-0.15,7,3.73363
-1.38,7,3.74011
-1.35,6,3.745662
-1.2,1,3.746692
-1.29,4,3.750462
-1.32,5,3.755109
-1.38,7,3.761657
