#{"t_start": 1775802563.9683206, "env_id": "None"}
r,l,t
-1.2,1,1.039355
-1.26,3,1.042169
-1.32,5,1.046754
-1.2,1,1.04776
-1.23,2,1.049701
-0.06,4,1.053707
-1.29,4,1.057401
-1.23,2,1.059291
-1.2,1,1.060304
-0.09,5,1.067094
-1.29,4,1.070827
-1.2,1,1.071836
-1.2,1,1.072834
-1.23,2,1.074738
-1.26,3,1.07752
-1.29,4,1.081234
-1.32,5,1.085807
-1.32,5,1.090414
-0.06,4,1.09423
-1.2,1,1.095224
-1.29,4,1.100891
-1.32,5,1.105489
-1.32,5,1.110061
-1.2,1,1.111056
-0.03,3,1.113941
-1.2,1,1.114954
-1.2,1,1.115956
-1.29,4,1.119656
-1.32,5,1.124254
-1.23,2,1.126159
-1.2,1,1.127157
-1.29,4,1.132841
-1.2,1,1.133847
-1.29,4,1.137529
-1.26,3,1.140325
-1.26,3,1.143136
-1.26,3,1.145949
-1.29,4,1.149629
-1.2,1,1.15063
-1.23,2,1.152546
-1.23,2,1.154464
-1.26,3,1.157267
-1.29,4,1.162928
-1.32,5,1.167545
-1.23,2,1.169456
0.0,2,1.171427
-1.32,5,1.176017
-1.38,7,1.18241
-1.26,3,1.185211
-1.26,3,1.188025
-1.2,1,1.189021
-1.29,4,1.194867
-1.32,5,1.199612
-1.32,5,1.204365
-1.38,7,1.210809
-1.2,1,1.211808
-1.29,4,1.215559
-1.32,5,1.220261
-1.23,2,1.222164
-1.2,1,1.223155
-1.29,4,1.229071
-1.2,1,1.230088
-1.23,2,1.231998
-1.23,2,1.233888
-0.06,4,1.237638
-1.26,3,1.240472
-1.23,2,1.242362
-0.09,5,1.247086
-1.2,1,1.248088
-1.32,5,1.252695
-1.32,5,1.259357
-1.26,3,1.262182
-1.23,2,1.264076
-1.26,3,1.266884
-1.2,1,1.267869
-1.2,1,1.268863
-1.23,2,1.270776
-1.23,2,1.272687
-1.29,4,1.27642
-1.23,2,1.278291
-1.32,5,1.282894
-1.26,3,1.285695
-0.09,5,1.292363
-1.2,1,1.293366
-1.29,4,1.297068
-1.23,2,1.29915
-1.2,1,1.300159
-1.2,1,1.301176
-1.29,4,1.304861
-1.2,1,1.30587
-1.26,3,1.308684
0.0,2,1.310619
-1.32,5,1.315243
-1.2,1,1.316252
-1.2,1,1.317238
-1.29,4,1.322897
-1.26,3,1.325721
-1.29,4,1.329405
-1.32,5,1.333981
-1.32,5,1.338616
-1.26,3,1.341402
-1.2,1,1.342411
-1.2,1,1.343425
-1.26,3,1.346216
-1.32,5,1.350807
-1.29,4,1.356507
-1.29,4,1.360238
-1.26,3,1.363043
-1.2,1,1.36405
-1.29,4,1.367752
-0.09,5,1.372524
-1.23,2,1.374444
-1.32,5,1.379035
-1.2,1,1.380025
-1.29,4,1.383727
-1.26,3,1.388477
-1.29,4,1.392195
-0.09,5,1.396866
-1.2,1,1.397869
-1.23,2,1.399886
-1.29,4,1.403615
-1.29,4,1.40732
-0.09,5,1.411993
-0.09,5,1.418686
-1.26,3,1.421486
-1.32,5,1.426069
-1.26,3,1.428896
-1.32,5,1.433515
-1.26,3,1.436325
-1.23,2,1.438244
-1.26,3,1.441071
-0.06,4,1.444901
-1.23,2,1.446791
-1.26,3,1.451565
-0.03,3,1.454427
1.2,3,1.457349
-1.26,3,1.46016
-1.26,3,1.46295
-1.2,1,1.463955
-1.29,4,1.467645
-1.26,3,1.470448
-1.32,5,1.475003
-1.32,5,1.479634
-1.26,3,1.48439
-1.26,3,1.487175
-1.26,3,1.489967
-1.2,1,1.490974
-1.29,4,1.494677
-1.23,2,1.496583
-1.23,2,1.498482
-1.2,1,1.499496
-0.06,4,1.503316
-1.2,1,1.504331
-1.23,2,1.506264
-1.23,2,1.508183
-1.29,4,1.511877
-1.23,2,1.515744
-1.32,5,1.52038
-1.23,2,1.52229
-1.23,2,1.524187
-1.26,3,1.52699
-1.23,2,1.528872
-0.09,5,1.533619
-1.29,4,1.537359
-0.03,3,1.540222
-1.32,5,1.546745
-1.23,2,1.548668
-1.26,3,1.55147
-0.09,5,1.556207
-1.23,2,1.558093
-1.29,4,1.561776
-1.2,1,1.562783
-1.23,2,1.56469
-1.2,1,1.565691
-1.32,5,1.570297
-1.23,2,1.572188
0.0,2,1.57417
-1.2,1,1.575171
-1.26,3,1.57994
-1.29,4,1.583668
-1.26,3,1.586478
