#{"t_start": 1775803992.9115636, "env_id": "None"}
r,l,t
-0.45,17,0.060164
-1.2,1,0.06097
-1.2,1,0.061759
-1.89,24,0.076463
-1.2,1,0.077291
-1.26,3,0.07933
-1.26,3,0.081349
-1.35,6,0.085125
-1.29,4,0.087771
-1.41,8,0.09279
-1.2,1,0.093629
-1.26,3,0.095571
-1.59,14,0.104256
-1.8,21,0.117167
-1.44,9,0.122701
-1.26,3,0.124721
-1.38,7,0.129206
-1.71,18,0.140126
-1.2,1,0.140968
-1.2,1,0.141726
-1.92,25,0.156843
-1.2,1,0.157601
-1.2,1,0.158426
-1.23,2,0.15981
-0.09,5,0.163176
-1.32,5,0.166384
-1.26,3,0.168384
-1.8,21,0.181086
-0.06,4,0.183784
-1.23,2,0.185144
-1.2,1,0.18591
-1.38,7,0.190309
-1.2,1,0.191112
-1.23,2,0.192534
-1.2,1,0.19331
-1.35,6,0.19715
-0.45,17,0.207685
-0.15,7,0.212146
-1.2,1,0.212923
-1.2,1,0.213695
-1.35,6,0.217516
-1.41,8,0.222507
-1.2,1,0.223284
-1.23,2,0.224646
-1.2,1,0.225496
-0.42,16,0.23541
-1.2,1,0.23621
-0.18,8,0.241361
-1.2,1,0.242174
-1.26,3,0.244187
-1.26,3,0.246202
-1.26,3,0.248159
0.0,2,0.249684
-1.26,3,0.251688
-1.35,6,0.255477
-1.23,2,0.256871
-1.56,13,0.264928
-0.3,12,0.27263
-1.2,1,0.273391
-1.2,1,0.274161
-1.32,5,0.27741
-1.26,3,0.279362
-1.2,1,0.280181
-1.35,6,0.283932
-1.2,1,0.284739
-1.53,12,0.292105
0.0,2,0.293579
-1.23,2,0.29495
-0.45,17,0.305552
-0.27,11,0.312363
-1.23,2,0.313791
-1.2,1,0.314559
-1.32,5,0.317757
-1.2,1,0.318599
-1.26,3,0.320543
-1.41,8,0.325464
-0.21,9,0.331357
-1.38,7,0.335757
-0.3,12,0.343215
-1.38,7,0.347605
-1.23,2,0.349049
-0.03,3,0.351088
-1.32,5,0.354251
-1.23,2,0.355613
-1.38,7,0.360084
-1.41,8,0.365101
-1.35,6,0.36889
-1.2,1,0.369697
-1.2,1,0.370523
-1.5,11,0.37729
-1.44,9,0.382994
-1.26,3,0.385123
-1.23,2,0.386555
-1.2,1,0.387346
-1.29,4,0.389926
-1.2,1,0.390764
-1.23,2,0.392175
-1.23,2,0.393594
-1.53,12,0.401014
-1.26,3,0.402947
-1.8,21,0.415926
-1.23,2,0.417316
-1.23,2,0.41873
-0.12,6,0.422696
-1.2,1,0.423516
-1.23,2,0.424963
-1.35,6,0.428725
-1.5,11,0.435462
-1.47,10,0.441703
-1.65,16,0.451452
-1.23,2,0.452847
-2.88,57,0.487393
-1.47,10,0.493673
0.81,16,0.504078
0.0,2,0.505532
-1.2,1,0.506351
-1.2,1,0.507164
-2.22,35,0.528329
-1.26,3,0.530297
-1.2,1,0.531121
-1.23,2,0.532512
0.0,2,0.534001
-0.09,5,0.537265
-1.71,18,0.548209
-1.2,1,0.549073
-1.2,1,0.549837
-1.44,9,0.555384
-1.23,2,0.556817
-1.44,9,0.562477
-1.38,7,0.566855
-1.53,12,0.574239
-0.12,6,0.578144
-1.71,18,0.589147
-1.2,1,0.589931
-1.2,1,0.590704
-1.65,16,0.600501
-1.35,6,0.604385
-2.01,28,0.621388
-1.23,2,0.62275
-0.21,9,0.628453
-1.44,9,0.634125
-1.23,2,0.635501
0.0,2,0.636999
-1.23,2,0.638363
-2.01,28,0.655373
-1.32,5,0.658573
-1.35,6,0.662406
-1.35,6,0.666163
-1.23,2,0.667634
-1.35,6,0.671406
-1.44,9,0.677036
-1.29,4,0.679612
-0.21,9,0.685471
-1.44,9,0.690998
-1.62,15,0.700112
-1.8,21,0.712892
-1.2,1,0.713697
-1.23,2,0.715111
-1.44,9,0.72063
-1.23,2,0.722042
-1.53,12,0.729485
-1.23,2,0.730845
-1.35,6,0.734678
-1.2,1,0.735445
-1.23,2,0.736853
-0.3,12,0.744345
-1.32,5,0.747576
-1.2,1,0.74836
-1.26,3,0.750406
-1.56,13,0.758411
-1.23,2,0.759779
-1.2,1,0.760595
-1.29,4,0.763233
-1.35,6,0.767042
-1.23,2,0.768428
-0.21,9,0.774133
-1.23,2,0.775558
-1.23,2,0.776993
-1.26,3,0.779014
-1.2,1,0.779794
-1.41,8,0.78476
-1.29,4,0.787361
-1.23,2,0.788743
-1.47,10,0.794944
-1.29,4,0.797564
-1.2,1,0.798343
-1.26,3,0.800335
-1.59,14,0.808916
-0.24,10,0.815293
-1.29,4,0.8179
-1.2,1,0.818653
-1.65,16,0.828417
-1.2,1,0.829259
0.0,2,0.830723
-0.51,19,0.842516
-1.2,1,0.843297
-1.23,2,0.8447
-1.29,4,0.847289
-1.32,5,0.850479
-1.2,1,0.851252
-1.44,9,0.856907
-1.71,18,0.867837
-1.23,2,0.869204
-1.44,9,0.874811
-1.29,4,0.877417
-1.41,8,0.882393
-1.23,2,0.883812
-1.35,6,0.887563
-1.53,12,0.89498
-1.26,3,0.896992
-1.26,3,0.898998
-0.24,10,0.905237
-2.22,35,0.926486
-1.56,13,0.934445
-1.38,7,0.938832
-1.71,18,0.949828
-0.06,4,0.952615
-1.53,12,0.959986
-1.35,6,0.963766
-1.29,4,0.966363
-1.32,5,0.969589
-0.18,8,0.974774
-1.26,3,0.976777
-1.23,2,0.978204
-1.53,12,0.985644
-2.13,32,1.004982
-1.26,3,1.006941
-1.2,1,1.00776
-1.2,1,1.008554
-1.26,3,1.010546
-1.29,4,1.013145
-1.98,27,1.029411
-0.15,7,1.033923
-1.2,1,1.034682
-1.23,2,1.036113
-1.23,2,1.037468
-1.26,3,1.039505
-0.18,8,1.044544
-1.47,10,1.050764
-1.32,5,1.053967
-1.2,1,1.054791
-0.24,10,1.06103
-1.32,5,1.064211
-1.83,22,1.077552
-1.29,4,1.080173
-1.38,7,1.084584
-0.12,6,1.088588
-1.2,1,1.089365
-1.23,2,1.090784
-0.09,5,1.094113
-1.41,8,1.09906
-1.26,3,1.101018
-1.47,10,1.107295
-2.1,31,1.126072
-1.59,14,1.134595
-0.09,5,1.137838
-1.38,7,1.142249
-1.29,4,1.144849
-1.41,8,1.149883
-1.38,7,1.154268
0.0,2,1.155761
-1.68,17,1.166221
-1.41,8,1.171209
-1.2,1,1.171991
-1.44,9,1.17757
-1.2,1,1.178356
-2.07,30,1.196437
-1.29,4,1.199023
-1.29,4,1.201674
-1.32,5,1.204845
-1.26,3,1.206854
-1.26,3,1.20885
-1.23,2,1.210266
-1.77,20,1.222392
-0.09,5,1.225743
-1.47,10,1.231917
-1.26,3,1.233989
-1.47,10,1.240133
-1.41,8,1.245076
-0.06,4,1.247748
-1.83,22,1.261085
-0.12,6,1.264935
-1.2,1,1.265705
-1.2,1,1.266525
-1.23,2,1.267939
-1.62,15,1.277158
-1.2,1,1.277936
-1.2,1,1.278693
-1.2,1,1.279551
-1.62,15,1.288724
-1.23,2,1.290149
-1.38,7,1.294541
-1.89,24,1.309055
-1.2,1,1.309828
-1.2,1,1.310592
-1.2,1,1.31137
-0.12,6,1.31607
-1.23,2,1.317451
-1.26,3,1.319446
-0.3,12,1.327191
-1.35,6,1.331065
-1.5,11,1.337799
-1.35,6,1.341561
-1.53,12,1.348926
-1.23,2,1.350333
-1.2,1,1.351151
-1.41,8,1.35611
-1.2,1,1.356893
-1.32,5,1.360144
-1.23,2,1.36155
-1.26,3,1.363537
-1.41,8,1.368544
-1.2,1,1.369437
-1.29,4,1.372063
-1.32,5,1.375252
0.0,2,1.376676
-1.38,7,1.381294
-1.44,9,1.38687
-1.86,23,1.401218
-1.2,1,1.401979
-1.38,7,1.40647
-1.32,5,1.409695
-1.35,6,1.413601
-1.77,20,1.425817
-1.47,10,1.432138
-1.35,6,1.435989
-1.68,17,1.446415
-1.56,13,1.45447
-1.44,9,1.460156
-1.32,5,1.463371
-1.23,2,1.464749
-1.23,2,1.466183
-1.59,14,1.474819
-1.5,11,1.481637
-1.2,1,1.482432
-1.35,6,1.486256
-1.35,6,1.4901
-1.5,11,1.496941
-0.03,3,1.499029
-1.2,1,1.49979
-1.59,14,1.508486
-1.32,5,1.511679
-1.23,2,1.513087
-1.53,12,1.520508
-1.23,2,1.521989
-0.03,3,1.52409
-1.38,7,1.52847
-0.27,11,1.535381
1.05,8,1.540681
-1.62,15,1.54994
-1.41,8,1.554914
-1.32,5,1.558109
-1.29,4,1.560778
-1.2,1,1.561569
-1.23,2,1.562983
-1.59,14,1.571808
-1.32,5,1.57512
-1.2,1,1.575894
-1.2,1,1.576649
-0.27,11,1.583538
-1.26,3,1.585586
-1.38,7,1.589966
-1.2,1,1.590757
-1.23,2,1.592143
