#{"t_start": 1775804808.1302943, "env_id": "None"}
r,l,t
-1.35,6,0.05443
-1.8,21,0.076436
-1.56,13,0.092143
-0.09,5,0.097492
-1.2,1,0.098686
-1.26,3,0.101885
-1.26,3,0.105093
-1.35,6,0.11132
-1.23,2,0.113505
-0.3,12,0.127681
-1.65,16,0.143922
-1.23,2,0.146108
-1.23,2,0.148348
-1.26,3,0.151562
-1.35,6,0.159757
-1.23,2,0.161959
-1.2,1,0.163151
-1.29,4,0.167358
-1.32,5,0.172568
-0.09,5,0.177884
-0.03,3,0.181211
-1.23,2,0.183418
-0.54,20,0.20559
-1.35,6,0.211808
-1.2,1,0.212995
-1.41,8,0.221214
-1.2,1,0.2224
-1.23,2,0.226361
-1.26,3,0.229562
-0.18,8,0.237867
-0.33,13,0.251332
-1.23,2,0.253529
-1.44,9,0.26452
-1.29,4,0.268714
-1.23,2,0.270906
-1.2,1,0.272093
-1.29,4,0.276317
-1.29,4,0.280491
-1.23,2,0.282667
-1.29,4,0.286845
-1.29,4,0.291034
-1.2,1,0.292225
-1.41,8,0.302211
-1.23,2,0.304402
-1.23,2,0.306583
-1.29,4,0.31078
-0.24,10,0.321024
-1.2,1,0.322213
-0.06,4,0.326523
-1.23,2,0.328721
-1.23,2,0.332671
-1.2,1,0.333861
-1.2,1,0.335057
-1.32,5,0.340263
-1.2,1,0.341455
-0.27,11,0.352742
-1.35,6,0.358916
-1.44,9,0.369843
-1.44,9,0.378997
-1.23,2,0.381166
-1.32,5,0.38636
-1.23,2,0.388546
-0.12,6,0.394797
-1.2,1,0.395988
-1.2,1,0.397193
-1.35,6,0.405168
-1.26,3,0.408373
-1.2,1,0.409565
-1.38,7,0.416786
-2.16,33,0.451802
-1.2,1,0.452991
-1.32,5,0.458197
-1.38,7,0.46545
-1.2,1,0.466639
-1.41,8,0.47656
-1.53,12,0.488719
-1.29,4,0.492906
-1.38,7,0.500214
-0.03,3,0.503586
-1.32,5,0.51085
-1.2,1,0.512061
-1.2,1,0.513273
-1.5,11,0.524805
-0.18,8,0.533416
-1.47,10,0.545696
-1.2,1,0.54688
-1.47,10,0.557124
-1.47,10,0.567358
-1.26,3,0.570565
-1.26,3,0.57376
-1.32,5,0.580748
-0.12,6,0.587195
-1.26,3,0.590411
-1.29,4,0.594611
-1.2,1,0.595792
-1.62,15,0.610991
-1.23,2,0.614952
-1.35,6,0.621151
-1.2,1,0.622333
-1.2,1,0.623519
-1.26,3,0.626725
-1.62,15,0.642013
-1.32,5,0.64898
-1.2,1,0.650184
-1.23,2,0.652393
-1.23,2,0.654594
